,Untreated_ARID1A_KO_vs_vemurafenib_and_trametinib_ARID1A_KO
IRF5,1.2451369
IRF6,-1.5972658
IRF7,-0.334667
IRF8,0.13173103
IRF9,2.2359912
IRX1,-0.31925613
ISL1,1.1679024
JARID2,0.20678033
JDP2,0.15137237
JUN,-5.332696
JUNB,-1.8420639
JUND,0.17453524
KAT2B,2.724728
KAT5,-0.2908225
KAT6A,-0.3796699
KAT6B,-0.34350988
KAT7,-2.20651
KCNIP3,1.8350912
KDM2A,0.7215604
KDM5A,-0.022598363
KDM5B,0.5538991
KDM5C,-1.876959
KDM5D,-1.1382217
KLF1,2.5559447
KLF10,-0.489986
KLF11,-0.22520395
KLF12,-1.7154943
KLF13,1.7327954
KLF15,0.12429434
KLF17,1.5660267
KLF2,2.029632
KLF3,1.4828058
KLF4,-0.04799518
KLF5,-1.3587689
KLF6,0.86372435
KLF7,3.435354
KLF8,-1.4151876
KLF9,1.4823761
KMT2A,-0.67566717
KMT2B,1.5760348
LEF1,-1.7886356
LHX1,0.1078329
LHX2,-0.9546402
LHX3,-1.0366814
LHX8,-2.1781707
LITAF,-0.85881186
LMO2,1.7237437
LMX1B,-0.09055294
LRRFIP1,0.7267132
LYL1,0.50304025
MAF,1.1588168
MAFA,-1.2421265
MAFB,0.20202272
MAFG,1.334562
MAFK,-0.13982195
MAML1,0.76891273
MAX,1.6801927
MAZ,-0.7440079
MBD1,-0.63018566
MBD2,-1.0569687
MECOM,0.46476543
MECP2,-1.3800738
MED1,-0.7574344
MEF2A,0.3443995
MEF2B,1.3537867
MEF2C,0.7725288
MEF2D,0.73470795
MEIS1,-0.56943184
MEOX1,3.2302706
MEOX2,3.757028
MESP2,-3.63477
MITF,-0.48637635
MIXL1,0.6060695
MKX,0.24430838
MLXIPL,-0.5919003
MNT,-0.5270593
MSC,-0.9066424
MSX1,-0.7464641
MSX2,-0.13974838
MTA1,-2.2919464
MTA3,-0.98339975
MTF1,-1.3346156
MTF2,-1.7370725
MXD1,-1.3274372
MXI1,-0.6313741
MYB,-2.504346
MYBL1,-2.1756113
MYBL2,-2.6678803
MYC,-8.479388
MYCN,-0.4048252
MYF5,-0.15019485
MYF6,-0.9879359
MYOCD,2.6334925
MYOD1,-0.24739678
MYOG,2.661833
MYRF,-0.37980795
MYT1,1.8199244
MZF1,-0.09882927
NAB2,1.4501505
NANOG,-1.3517406
NCOA1,-1.7094576
NCOA2,-1.0094436
NCOA3,-1.6165892
NCOR1,0.038506035
NCOR2,0.5676294
NEUROD1,0.55577
NEUROD2,-3.0958824
NEUROD6,0.66286695
NEUROG1,-2.1941688
NEUROG2,1.5266212
NEUROG3,1.1837026
NFAT5,-1.4748778
NFATC1,-1.4904243
NFATC2,-2.2224789
NFATC3,1.4783031
NFATC4,1.3588349
NFE2,-1.491027
NFE2L1,-1.3711197
NFE2L2,-1.3290852
NFE2L3,1.6493164
NFIA,-0.04700319
NFIB,1.4362724
NFIC,-0.6280509
NFIL3,0.5040623
NFIX,0.6971785
NFKB,-4.5208335
NFKB1,-3.9969468
NFKB2,-3.4039586
NFKBIB,-1.8986845
NFX1,-2.0170898
NFYA,-1.7816087
NFYB,-0.024161782
NFYC,-0.7406961
NKRF,-1.4942813
NKX2-1,-2.1614754
NKX2-2,1.2534297
NKX2-5,0.89628816
NKX3-1,-0.4948027
NKX3-2,0.7685713
NKX6-1,-2.68847
NONO,-0.17355017
NOTCH1,0.7389713
NOTO,-0.35667855
NPAS2,-1.2571753
NPM1,-1.2425234
NR0B1,0.13949487
NR0B2,-1.5405122
NR1D1,-0.08595014
NR1H2,-0.072455555
NR1H3,0.33206242
NR1H4,-0.38408902
NR1I2,-2.1267357
NR1I3,0.576282
NR2C1,1.4502907
NR2C2,-0.30739647
NR2E1,-2.7582881
NR2E3,1.2174193
NR2F1,-2.1829588
NR2F2,1.2741822
NR3C1,-0.0071662352
NR3C2,-3.0027585
NR4A1,-0.7759432
NR4A2,1.3709588
NR4A3,-0.47551435
NR5A1,1.1972036
NR5A2,-0.5381864
NR6A1,1.0518957
NRF1,-2.2306106
NRG1,-1.2104288
NRL,-0.26516908
NSD2,-0.27336106
NUPR1,1.1432416
OLIG1,-0.362175
OLIG2,1.2475402
ONECUT1,0.14293928
OTX2,-0.11652185
OVOL1,0.08102893
PARK7,-3.335024
PATZ1,-1.8876948
PAWR,1.8315436
PAX1,0.083204836
PAX2,-2.803843
PAX3,-1.2872725
PAX5,-0.76597744
PAX6,1.2443484
PAX7,1.4945911
PAX8,-2.412566
PAX9,-1.272199
PBRM1,1.5521647
PBX1,0.40408102
PDX1,1.0224254
PEG3,-0.19584659
PGR,-2.1963952
PHF20,0.066528015
PHOX2A,1.1429932
PHOX2B,0.46570253
PIN1,-1.9134617
PITX1,-0.6392052
PITX2,-0.67970806
PITX3,-3.1268249
PKNOX1,0.7825886
PLAG1,-0.8550252
PLAGL1,1.2343624
PML,1.342885
POU1F1,0.06167763
POU2F1,1.0783468
POU2F2,-0.25075015
POU2F3,-0.11720329
POU3F1,-0.60113233
POU3F2,0.650384
POU4F1,-0.06546123
POU4F2,0.046690427
POU5F1,-1.538802
PPARA,1.1468573
PPARD,-1.6779842
PPARG,2.4832995
PPARGC1A,1.6934881
PRDM1,-1.4596808
PRDM2,1.0422208
PRDM4,0.19101685
PREB,1.4195085
PROP1,0.25969705
PROX1,1.102707
PRRX1,-0.9693704
PTF1A,-0.09540019
PURA,0.20557204
RARA,-1.3023802
RARB,-1.4094414
RARG,-1.5514637
RB1,1.7112755
RBPJ,-1.8777934
RCOR2,-2.848024
REL,-1.4210511
RELA,-5.361881
RELB,-2.3324356
REST,-0.4384951
RFX1,0.80641997
RFX3,-0.91775966
RFX5,-0.38971642
RFXANK,0.13894694
RFXAP,-0.15312004
RORA,-0.49123326
RORB,0.38474402
RORC,0.4739985
RREB1,0.005754907
RUNX1,-0.7297559
RUNX2,-2.1342936
RUNX3,3.3639655
RXRA,-0.284007
RXRB,-0.44347566
RXRG,-1.1181054
SALL1,-2.6364782
SALL2,3.4863415
SALL3,0.9099223
SALL4,-0.17690486
SATB1,-0.48298657
SATB2,-1.4990444
SCX,1.6067904
SETBP1,0.8044704
SF1,0.8871747
SFPQ,-0.9670212
SHOX2,0.19396877
SIM2,0.20616627
SIN3A,0.30204645
SIRT1,-0.23208775
SIX1,-4.021244
SIX3,2.657554
SIX4,-2.378142
SKIL,1.1796445
SMAD1,-2.5382261
SMAD2,-1.6525538
SMAD3,-2.536674
SMAD4,-1.1772946
SMAD5,2.0578194
SMAD6,0.072717674
SMAD7,-0.9346386
SMAD9,-0.5231546
SMARCA1,-0.8170074
SMARCA4,2.7948575
SMARCA5,-1.2820789
SMARCB1,-0.47785687
SMARCC1,-1.2581291
SNAI1,-2.8559592
SNAI2,2.8707623
SOX10,-0.17679685
SOX11,-0.60428685
SOX17,-1.451951
SOX2,-2.1087573
SOX4,1.7674849
SOX5,-0.8708282
SOX6,1.4344529
SOX9,2.658905
SP1,-3.7083976
SP2,0.1516073
SP3,-2.821511
SP4,0.30331656
SP7,-1.9683306
SPDEF,3.1505408
SPI1,-0.4088229
SPIB,-0.038730286
SPIC,0.805864
SREBF1,0.888014
SREBF2,-1.1706808
SRF,-2.860458
SRSF2,-2.127001
SRY,-1.4519295
SSRP1,-1.5317652
STAT1,-0.8492656
STAT2,-0.17250715
STAT3,-3.704095
STAT4,-0.23689875
STAT5A,-0.18440583
STAT5B,-0.93209255
STAT6,-0.571838
TADA2A,-1.2954842
TAF1,-1.0364825
TAL1,0.38357013
TBP,-1.2444901
TBPL1,0.6669185
TBPL2,0.8595951
TBX1,-3.2524884
TBX15,-0.9548772
TBX18,0.32391456
TBX2,-1.1109172
TBX20,-0.1916093
TBX21,0.5071581
TBX3,-0.25271213
TBX5,-1.7391483
TBX6,1.992678
TBXT,-1.4962316
TCF12,-1.3627694
TCF15,0.8312848
TCF21,-1.6155235
TCF3,0.40639377
TCF4,-2.6811123
TCF7,-2.014599
TCF7L2,-5.498944
TEAD1,-2.2651749
TEAD2,0.10533781
TEAD4,-2.0443687
TEF,0.39289674
TET1,1.6642133
TFAM,-2.0807188
TFAP2A,-2.0127113
TFAP2B,-0.20959297
TFAP2C,-0.065814964
TFAP4,-1.5798515
TFCP2,-2.0889611
TFDP1,-0.3001678
TFDP2,-0.40480587
TFDP3,2.7164242
TFE3,-0.036030214
TFEB,1.260122
TGFB1I1,-0.63327736
TGIF1,-0.72721905
THAP11,2.6653605
THRA,1.0734895
THRB,-0.2679138
TLX1,-2.7812924
TLX3,0.88534313
TOX3,-0.031558797
TP53,-2.1322644
TP63,1.2342201
TP73,1.0223738
TRERF1,2.7540956
TRIM28,1.8611108
TRPS1,-2.4523869
TSC22D1,3.5785162
TTF1,-1.6880531
TWIST1,-2.3682392
TWIST2,-2.2255213
UBTF,-2.6459517
USF1,-2.0570679
USF2,-1.725434
VDR,0.64535683
VEZF1,-4.035852
VHL,1.1973959
VSX2,-0.043891132
WT1,-0.09789128
WWTR1,-1.2856182
XBP1,-3.896166
YAP1,0.6522082
YBX1,0.7455493
YBX3,1.8065758
YY1,0.5240797
ZBED1,0.2895388
ZBTB14,0.46408778
ZBTB16,-0.89268315
ZBTB17,-2.2641132
ZBTB18,-1.6346445
ZBTB32,1.4335288
ZBTB33,1.3853288
ZBTB4,-3.1692803
ZBTB7A,0.65823936
ZBTB7B,0.51441056
ZEB1,-1.8821298
ZEB2,1.5967398
ZFHX3,2.3575528
ZFP42,-0.8301079
ZFPM1,1.5564885
ZFPM2,0.59325564
ZGLP1,0.23506278
ZGPAT,0.9687287
ZHX2,1.3325251
ZIC1,0.006187184
ZIC2,0.37770554
ZKSCAN7,-1.8352271
ZMYND8,0.57280946
ZNF143,1.3139212
ZNF148,0.5119164
ZNF160,0.42278758
ZNF202,0.37010464
ZNF219,1.4496092
ZNF236,1.7215538
ZNF24,-1.9181141
ZNF263,-1.0343406
ZNF300,-3.334288
ZNF331,-0.27051824
ZNF335,-0.8607607
ZNF350,2.7609613
ZNF354C,-1.2801524
ZNF362,-0.9500499
ZNF382,1.6052899
ZNF384,1.5520717
ZNF395,1.4443665
ZNF436,0.4341174
ZNF699,0.8583673
ZNF76,-1.2294388
ZNF804A,0.61960405
ZNF91,1.0098897
ZXDC,-0.34485498
