,Vermurafenib_1uM_WT_vs_vemurafenib_and_trametinib_WT
PAX6,0.4549315
PAX7,-0.100087464
PAX8,1.7627301
PAX9,2.4939349
PBRM1,-1.5416179
PBX1,0.6118062
PDX1,0.90088624
PEG3,-0.5940049
PGR,-0.8361017
PHF20,-0.64516366
PHOX2A,1.189533
PHOX2B,1.193761
PIN1,-1.2637386
PITX1,0.7971929
PITX2,1.5992594
PITX3,0.5458347
PKNOX1,2.0008492
PLAG1,-1.8191129
PLAGL1,-1.5264798
PML,0.72406524
POU1F1,1.2059257
POU2F1,1.4044228
POU2F2,0.56125456
POU2F3,-2.1598778
POU3F1,-0.6094291
POU3F2,-0.33783317
POU4F1,-1.0707266
POU4F2,0.36706755
POU5F1,2.2634509
PPARA,0.03959577
PPARD,0.4463648
PPARG,0.19188938
PPARGC1A,-0.38176244
PRDM1,0.014751947
PRDM2,-0.9546895
PRDM4,0.90565515
PREB,-1.1036643
PROP1,1.9808936
PROX1,-0.56640196
PRRX1,0.06106069
PTF1A,-0.89724004
PURA,1.8710458
RARA,-1.0219363
RARB,-2.2826428
RARG,-1.1606368
RB1,-0.26815248
RBPJ,0.4441458
RCOR2,-1.0632138
REL,-1.208694
RELA,-0.6812559
RELB,-2.3545434
REST,1.5490392
RFX1,-0.35729325
RFX3,-0.56990576
RFX5,-1.8178215
RFXANK,-2.8159578
RFXAP,-2.9022014
RORA,1.2650189
RORB,0.7421961
RORC,0.65742093
RREB1,0.31795776
RUNX1,-0.36109096
RUNX2,-1.8752788
RUNX3,1.388395
RXRA,-1.6524984
RXRB,-2.4985092
RXRG,-1.1661917
SALL1,-0.75745755
SALL2,-0.14115122
SALL3,-0.21534017
SALL4,-0.14068429
SATB1,0.2568834
SATB2,-0.3888857
SCX,-0.9414585
SETBP1,0.91092104
SF1,0.53929245
SFPQ,0.34019315
SHOX2,0.3534568
SIM2,-0.31113666
SIN3A,-1.1996548
SIRT1,0.60189396
SIX1,0.5512839
SIX3,0.397827
SIX4,-2.1267858
SKIL,-0.90914667
SMAD1,0.7784854
SMAD2,-0.8782868
SMAD3,1.4752946
SMAD4,0.22022025
SMAD5,1.7351357
SMAD6,0.09441478
SMAD7,0.7850734
SMAD9,0.5475824
SMARCA1,-1.4712017
SMARCA4,-0.87910277
SMARCA5,-0.35911483
SMARCB1,1.3559499
SMARCC1,-0.78988606
SNAI1,-1.0458082
SNAI2,1.6451573
SOX10,-0.34856883
SOX11,0.37087628
SOX17,-0.80461544
SOX2,-0.109190255
SOX4,-2.45943
SOX5,-1.6749164
SOX6,-2.3043756
SOX9,-0.28293607
SP1,-0.6514458
SP2,-1.0538925
SP3,-0.58718216
SP4,0.72183394
SP7,-1.3236246
SPDEF,0.010667886
SPI1,-1.3853891
SPIB,-0.27467537
SPIC,0.3708929
SREBF1,-1.1999631
SREBF2,-0.5673993
SRF,0.3496879
SRSF2,2.660154
SRY,-0.3879474
SSRP1,-1.8115499
STAT1,-0.8648786
STAT2,-1.0498109
STAT3,-0.036419053
STAT4,-0.83584493
STAT5A,-0.11800264
STAT5B,-0.24636771
STAT6,-0.7361219
TADA2A,0.75168204
TAF1,-0.3077672
TAL1,-0.6044489
TBP,-0.23321101
TBPL1,0.40409705
TBPL2,0.6022767
TBX1,0.84905076
TBX15,0.15648799
TBX18,-2.6449735
TBX2,0.14816211
TBX20,0.8319407
TBX21,-2.9433165
TBX3,1.1125786
TBX5,-1.1677117
TBX6,-0.541156
TBXT,-1.1433382
TCF12,-1.065692
TCF15,-1.020331
TCF21,-0.8957388
TCF3,0.60326236
TCF4,0.85062927
TCF7,-0.42757133
TCF7L2,-0.05038517
TEAD1,-1.1442466
TEAD2,-0.38040322
TEAD4,1.3941875
TEF,0.9240084
TET1,2.154565
TFAM,1.7378678
TFAP2A,-1.230432
TFAP2B,2.0534217
TFAP2C,-1.7627482
TFAP4,-0.6556395
TFCP2,-0.5238214
TFDP1,0.859376
TFDP2,-1.659206
TFDP3,-0.4397677
TFE3,-0.1259863
TFEB,-1.1733675
TGFB1I1,0.9335524
TGIF1,0.7851711
THAP11,1.4512881
THRA,-1.2100447
THRB,-0.26654428
TLX1,-1.8370143
TLX3,-0.14022163
TOX3,-0.503961
TP53,-1.3937765
TP63,0.4628421
TP73,0.20211539
TRERF1,-0.68518585
TRIM28,0.9002569
TRPS1,-0.39589474
TSC22D1,0.1632287
TTF1,-0.3242072
TWIST1,2.056293
TWIST2,1.5122986
UBTF,-0.44282278
USF1,-1.7585338
USF2,-0.43147182
VDR,0.64328796
VEZF1,0.556313
VHL,-1.0792238
VSX2,-1.2478755
WT1,0.28288147
WWTR1,0.08461706
XBP1,0.75377506
YAP1,2.4869182
YBX1,-0.23476848
YBX3,1.0725062
YY1,0.34610814
ZBED1,0.20570405
ZBTB14,-1.5342821
ZBTB16,-1.3559239
ZBTB17,1.208355
ZBTB18,-1.1705273
ZBTB32,0.90892756
ZBTB33,-0.055953678
ZBTB4,-0.78549004
ZBTB7A,-0.63184565
ZBTB7B,-1.2913219
ZEB1,1.2900008
ZEB2,1.9008036
ZFHX3,-0.2660431
ZFP42,-0.42484108
ZFPM1,-0.16640659
ZFPM2,0.8298319
ZGLP1,-0.45428655
ZGPAT,0.7037866
ZHX2,-0.13791107
ZIC1,0.061966613
ZIC2,-0.68111545
ZKSCAN7,-1.1795567
ZMYND8,0.015459281
ZNF143,1.3196545
ZNF148,-0.14419529
ZNF160,0.38253552
ZNF202,0.65407103
ZNF219,-1.3792124
ZNF236,0.7799716
ZNF24,-0.9803692
ZNF263,1.7368927
ZNF300,-0.8844151
ZNF331,0.122491114
ZNF335,-0.05628274
ZNF350,0.40948296
ZNF354C,-1.4497945
ZNF362,-1.4959102
ZNF382,0.39973527
ZNF384,1.0375127
ZNF395,0.33299267
ZNF436,-0.74650645
ZNF699,0.46914563
ZNF76,0.058913745
ZNF804A,-0.6027697
ZNF91,-0.26381356
ZXDC,-1.450028
