,Untreated_ARID1A_KO_vs_Trametinib_10nM_ARID1A_KO
ELF4,0.33802113900382724
ELF5,0.9274902651792849
ELK1,0.048880783767953594
ELK3,0.004097455278999619
ELK4,0.0015217719400686842
EMX2,0.3033179520142042
EN1,0.4192776415759665
ENO1,0.4840120986538089
EOMES,0.11872387312865727
EP300,0.38702515688408423
EPAS1,0.6172232316559931
ERF,0.8280170416469202
ERG,0.9696198372895939
ESR1,1.0172857113803148e-05
ESR2,0.02611477316113158
ESRRA,0.5112344508622877
ESRRB,0.8943302607124666
ESRRG,0.6969283228025791
ETS1,2.1146499017621235e-05
ETS2,0.530887821535936
ETV1,0.19087225367238086
ETV2,0.7026384832904019
ETV3,0.00029318115758653854
ETV4,0.11188568556881195
ETV5,0.03424705687253071
ETV6,0.6049999097430261
ETV7,0.9467329831188362
EWSR1,0.9274644005153805
EZH2,0.2108544862390062
FEV,0.44869696887595245
FEZF1,0.01139807713336967
FEZF2,0.31248131480197894
FGF2,0.1656594663688137
FHL2,0.0807964768626388
FLI1,0.9242562166545311
FOS,4.80577087347967e-06
FOSB,0.2660674516817871
FOSL1,0.726441908648162
FOSL2,0.7187884678479617
FOXA1,0.10760685356456193
FOXA2,0.11088641479209652
FOXC1,0.08121136210118579
FOXC2,0.000999168121861931
FOXD1,0.04373073729906378
FOXD3,0.4284449704525861
FOXF2,0.3361111517959138
FOXG1,0.1638731266626187
FOXH1,0.48922728856981046
FOXI1,0.3243554478986168
FOXJ1,0.3787310255907448
FOXL2,0.008538480920127881
FOXM1,0.5860949543631482
FOXN1,0.5422444058428699
FOXO1,0.867747908322816
FOXO3,0.9485020117677625
FOXO4,0.9515621510791092
FOXP1,0.1415567423933077
FOXP2,0.7508169078524402
FOXP3,0.1666572984553887
FOXQ1,0.5524253716964228
GABPA,0.6181304298938075
GATA1,0.8350345090998701
GATA2,0.4132412983307109
GATA3,0.14039242042901806
GATA4,0.22233515171601648
GATA5,0.2709880023358293
GATA6,0.6325952072984116
GCM1,0.2925164116859357
GFI1,0.43096403994345933
GFI1B,0.23648759764236368
GLI1,0.00066278830965874
GLI2,0.0006200323383056361
GLI3,0.7498514678832986
GLIS3,0.9568770264203451
GRHL2,0.05054997609134391
GRHL3,0.3082978350330485
GSC,0.20777293079368928
GTF2I,0.1905660583779865
GTF2IRD1,0.30452499481500006
GTF3A,0.06954239131482474
HAND1,0.4078147487217695
HAND2,0.025521240192284047
HBP1,0.5906227785074945
HCFC1,0.8744271095973236
HDAC1,0.38691770498930256
HDAC3,0.4106204381099703
HDAC4,0.1959342543145079
HDAC5,0.560389345109988
HDAC7,0.007070846826085839
HDAC9,0.28885355153084863
HDGF,0.6003379898915742
HES1,0.7564150935645984
HESX1,0.10667793693881199
HEY1,0.4996868940838064
HEY2,0.07553266569206409
HEYL,0.007150301902434094
HHEX,0.37499488624847566
HIC1,0.726027404264719
HIF1A,0.0002464739491513693
HIF3A,0.9443898655390076
HINFP,0.062440736258355
HIPK2,0.3042675976932144
HIVEP1,0.9848922967617966
HIVEP2,0.6395210641304333
HLF,0.30543737357007245
HLX,0.08483435408857876
HMGA1,0.06760751281203936
HMGA2,0.23844119401813746
HMGB2,0.05103648276418055
HNF1A,0.875694948214804
HNF1B,0.6982888404798226
HNF4A,0.12522706134566372
HNF4G,0.7654703947079493
HOPX,0.22328549520129237
HOXA1,0.0749286749348979
HOXA10,0.594306124145779
HOXA11,0.907979763552859
HOXA13,0.010159992812938346
HOXA2,0.6930082655302894
HOXA5,0.11270121278006479
HOXA7,0.9836166714562797
HOXA9,0.8332073887851565
HOXB1,0.0003606284377594564
HOXB13,0.9055512322234246
HOXB2,0.4538246628768484
HOXB4,0.04520746586646677
HOXB7,0.0027816418030656032
HOXB9,0.11424644713562658
HOXC6,0.4453465425919274
HOXC8,0.08624467886181432
HOXD1,0.5802580812757652
HOXD13,0.09249492638694748
HOXD3,0.00011949665928309645
HR,0.4023933500076967
HSF1,0.013326720164729477
HSF2,0.8959890841611988
HSF4,0.17082232634375008
HTATIP2,0.2911998757860339
ID1,0.9966126810036354
ID2,0.9182263997054181
ID3,0.6882639481688448
ID4,0.5485212242378402
IKZF1,0.4082135527237234
IKZF4,0.31854541727688274
ING4,0.0017355722271521993
IRF1,0.6425728407020255
IRF2,0.7146327982516159
IRF3,0.6167527320964146
IRF4,0.7274540166570436
IRF5,0.2288892497517726
IRF6,0.09021981723509111
IRF7,0.5146890117633474
IRF8,0.8506626510288184
IRF9,0.018584875588584356
IRX1,0.6655235738473388
ISL1,0.27564560805631305
JARID2,0.9150043013162663
JDP2,0.9307016634648277
JUN,3.8373136667826934e-08
JUNB,0.05121115129608802
JUND,0.8829984185462965
KAT2B,0.0024572593265018722
KAT5,0.7701677460409606
KAT6A,0.7940314181742185
KAT6B,0.9101380247269539
KAT7,0.050189891143994324
KCNIP3,0.07996228007150032
KDM2A,0.3928380555180968
KDM5A,0.82120044115097
KDM5B,0.49118153816990007
KDM5C,0.09596704191413107
KDM5D,0.23476750016452969
KLF1,0.006621323557309516
KLF10,0.8378750754985823
KLF11,0.588226378371713
KLF12,0.12027226314892075
KLF13,0.1507354487439581
KLF15,0.9541767830772355
KLF17,0.13071885283980803
KLF2,0.0623315954820588
KLF3,0.13303320755223363
KLF4,0.9257875003204904
KLF5,0.19116294429340838
KLF6,0.5298422214395505
KLF7,0.000678944993440058
KLF8,0.12673833430684056
KLF9,0.2464118142034588
KMT2A,0.782908378402795
KMT2B,0.14941689603854655
LEF1,0.0681399333919186
LHX1,0.7676326293160297
LHX2,0.3929658848734294
LHX3,0.3113367050037492
LHX8,0.041655888400776275
LITAF,0.37204749290383654
LMO2,0.08040088628818085
LMX1B,0.9129862575874345
LRRFIP1,0.28361628016601903
LYL1,0.6639266938025092
MAF,0.3986078100573983
MAFA,0.1407954691504417
MAFB,0.6955832281858122
MAFG,0.1863449984399097
MAFK,0.8443888967912673
MAML1,0.5421501316302483
MAX,0.09908845011788527
MAZ,0.3997585143827669
MBD1,0.8135193728932905
MBD2,0.3992837982190224
MECOM,0.7052716142189703
MECP2,0.16010074373202557
MED1,0.2681665783888586
MEF2A,0.5788612634141226
MEF2B,0.08218028977453971
MEF2C,0.2985686598519699
MEF2D,0.3330556053531244
MEIS1,0.7425269823081404
MEOX1,0.007570829210622742
MEOX2,0.0005478745203020999
MESP2,0.00018982035243141605
MITF,0.7809437338654399
MIXL1,0.5030716113038045
MKX,0.5612198788448292
MLXIPL,0.5353666816761334
MNT,0.6421149620065907
MSC,0.2515547395809832
MSX1,0.3591688800913807
MSX2,0.5150799308659533
MTA1,0.027845294033469664
MTA3,0.4876471142294472
MTF1,0.1916981696561542
MTF2,0.06589077830538598
MXD1,0.1494636356203934
MXI1,0.5163778533617334
MYB,0.006400588618597058
MYBL1,0.03950541816798138
MYBL2,0.00864763716855193
MYC,4.561690518422602e-19
MYCN,0.43261402063711507
MYF5,0.7464296426609025
MYF6,0.42759242188548097
MYOCD,0.010900247742330518
MYOD1,0.960911042186122
MYOG,0.0021327733712309133
MYRF,0.8130630481316474
MYT1,0.08566017397724836
MZF1,0.8804023512108741
NAB2,0.1690238072771879
NANOG,0.18588438789493897
NCOA1,0.08829801541091974
NCOA2,0.2787186769954546
NCOA3,0.2784186980550435
NCOR1,0.8484809381037967
NCOR2,0.6819793219182102
NEUROD1,0.7700275768979927
NEUROD2,0.0009357014006786002
NEUROD6,0.5185116925748166
NEUROG1,0.03363147226707985
NEUROG2,0.18960240679202287
NEUROG3,0.23378749819055256
NFAT5,0.23589694302274028
NFATC1,0.1479520552749385
NFATC2,0.024175625261124115
NFATC3,0.13696317842072925
NFATC4,0.26094742570611085
NFE2,0.060002065401600115
NFE2L1,0.18735248055371606
NFE2L2,0.11660237123181148
NFE2L3,0.1029353713521933
NFIA,0.9085130856893238
NFIB,0.1974761452559303
NFIC,0.4926785171508512
NFIL3,0.6809933735375302
NFIX,0.6007295737279269
NFKB,1.4863967649552391e-05
NFKB1,8.841242252420054e-05
NFKB2,0.00022039540236305031
NFKBIB,0.046453509382607755
NFX1,0.03857118923396611
NFYA,0.08514635494650438
NFYB,0.7456964134046309
NFYC,0.451357821013851
NKRF,0.1521095737538003
NKX2-1,0.02836364592607322
NKX2-2,0.3458460521472506
NKX2-5,0.4107409947985534
NKX3-1,0.716545487919804
NKX3-2,0.6154276276973099
NKX6-1,0.016741485660118998
NONO,0.8191584370364295
NOTCH1,0.9461472872453778
NOTO,0.8015071656939232
NPAS2,0.05433171323349241
NPM1,0.2083515606621398
NR0B1,0.96573848306004
NR0B2,0.16349241791171418
NR1D1,0.9301645790091462
NR1H2,0.9854928582423046
NR1H3,0.7433196770326773
NR1H4,0.4644914409750408
NR1I2,0.03581880314284822
NR1I3,0.4848799924985664
NR2C1,0.13181956468325118
NR2C2,0.8158749801286084
NR2E1,0.003256260134421955
NR2E3,0.33474785114269545
NR2F1,0.01615857485414295
NR2F2,0.24600066376091864
NR3C1,0.9760718738666326
NR3C2,0.0042740115799410104
NR4A1,0.3996688475755936
NR4A2,0.21731181157091947
NR4A3,0.616375992688681
NR5A1,0.14535053479678015
NR5A2,0.39529935247012604
NR6A1,0.3532216049680019
NRF1,0.030948328012076934
NRG1,0.18131200556689717
NRL,0.9615224746866424
NSD2,0.5537241379733122
NUPR1,0.39523967804793336
OLIG1,0.698161154867206
OLIG2,0.2265676374168288
ONECUT1,0.731251179546355
OTX2,0.9527376463206801
OVOL1,0.8912138031627744
PARK7,0.0012512646795830552
PATZ1,0.04797769713941286
PAWR,0.04712402877601081
PAX1,0.7858417373220857
PAX2,0.009209311883613926
PAX3,0.18893683622659233
PAX5,0.8798716567107924
PAX6,0.23486423705327011
PAX7,0.279384300165579
PAX8,0.06323850923478218
PAX9,0.27673091725778826
PBRM1,0.10371060079388443
PBX1,0.7754617535599815
PDX1,0.3309673851875773
PEG3,0.9682440931609507
PGR,0.0738212739116161
PHF20,0.9255375791660445
PHOX2A,0.4005005639777206
PHOX2B,0.8232025376251529
PIN1,0.051707877206914575
PITX1,0.28789714300137453
PITX2,0.4096364306638801
PITX3,0.00070393959526731
PKNOX1,0.362181349495595
PLAG1,0.43906178186649114
PLAGL1,0.21635902198253815
PML,0.194260197263899
POU1F1,0.946200797486926
POU2F1,0.34724076843181007
POU2F2,0.6560344524087649
POU2F3,0.7979200428082838
POU3F1,0.6375750263142195
POU3F2,0.6026558314754447
POU4F1,0.981067093456298
POU4F2,0.811177526006406
POU5F1,0.11483818176820484
PPARA,0.3168695953768796
PPARD,0.07912176077827021
PPARG,0.04028286159638312
PPARGC1A,0.1884266454053927
PRDM1,0.10955488018268729
PRDM2,0.45645127170930067
PRDM4,0.8137250386228159
PREB,0.1669024118794889
PROP1,0.9389276838201381
PROX1,0.12652829558548534
PRRX1,0.2945802103334088
PTF1A,0.6596246723363988
PURA,0.9711903936322168
RARA,0.24631830658068127
RARB,0.18612071906672162
RARG,0.11276058619659214
RB1,0.1212516829538026
RBPJ,0.013171369948609844
RCOR2,0.009091755477569347
REL,0.1758575319941064
RELA,2.1818484697797528e-07
RELB,0.019084925205963648
REST,0.6359568034180179
RFX1,0.47144391436267385
RFX3,0.3157485271336103
RFX5,0.6316615428977925
RFXANK,0.9673404191050008
RFXAP,0.7210898043370527
RORA,0.4954151387737322
RORB,0.9382130846089822
RORC,0.5801783348439585
RREB1,0.9701510054768716
RUNX1,0.526718797401146
RUNX2,0.03633910271713332
RUNX3,0.0020132948664755043
RXRA,0.7709492490217184
RXRB,0.6271772113258602
RXRG,0.313978024507537
SALL1,0.0089511337450257
SALL2,0.0005706931302095859
SALL3,0.42646620661457846
SALL4,0.8321297484195616
SATB1,0.5141687310066395
SATB2,0.16625556719384912
SCX,0.1150638661828232
SETBP1,0.5588350092278813
SF1,0.5090959577942644
SFPQ,0.33512469682747437
SHOX2,0.8444041162254521
SIM2,0.8167720664631866
SIN3A,0.8049957120195999
SIRT1,0.8230714458746167
SIX1,0.00014916385498662613
SIX3,0.003970096072444503
SIX4,0.04536085178472534
SKIL,0.16753566171684234
SMAD1,0.006313008710522239
SMAD2,0.158744758112759
SMAD3,0.0048906524328847945
SMAD4,0.27925270991158674
SMAD5,0.06133582816790288
SMAD6,0.9314240912856273
SMAD7,0.2569132972957917
SMAD9,0.4340632443723844
SMARCA1,0.3195949332461473
SMARCA4,0.006194284841199589
SMARCA5,0.23173565215091996
SMARCB1,0.8415337275675342
SMARCC1,0.18580534308132612
SNAI1,0.008594502631697136
SNAI2,0.005304654067516732
SOX10,0.8645387358191862
SOX11,0.5740241482102658
SOX17,0.15462594875541352
SOX2,0.04295922021487189
SOX4,0.02578241779287801
SOX5,0.4868643351811389
SOX6,0.1406253552161909
SOX9,0.0030632257534207482
SP1,4.57524734962298e-05
SP2,0.8303319159637231
SP3,0.006677490529471209
SP4,0.5731473352680796
SP7,0.06808557698455271
SPDEF,0.0025504561723593256
SPI1,0.6876364327442018
SPIB,0.891602873391329
SPIC,0.24276761541872646
SREBF1,0.2562135724749613
SREBF2,0.44501196641545027
SRF,0.004014191090487888
SRSF2,0.06542524042496063
SRY,0.11113568302025238
SSRP1,0.09873568199848345
STAT1,0.3649155825103595
STAT2,0.9561370895993104
STAT3,0.0006752105152237171
STAT4,0.9580697662844924
STAT5A,0.9780082808195132
STAT5B,0.5272902869421138
STAT6,0.7254761308959864
TADA2A,0.1626369250250574
TAF1,0.3560486591136771
TAL1,0.5336974719719503
TBP,0.16208924476861403
TBPL1,0.48710751723757884
TBPL2,0.4500148218884441
TBX1,0.0014459468858657209
TBX15,0.4356803781394336
TBX18,0.7071421511187115
TBX2,0.343384569023676
TBX20,0.8846012332822191
TBX21,0.7962971028728052
TBX3,0.48817143839738064
TBX5,0.05014500240264737
TBX6,0.045571490895484734
TBXT,0.21426289627046063
TCF12,0.18146057994316744
TCF15,0.44517749548067376
TCF21,0.09791784978591826
TCF3,0.9227829372894992
TCF4,0.007419803330697029
TCF7,0.13484284492244492
TCF7L2,2.3250487359025048e-07
TEAD1,0.015883924644643693
TEAD2,0.7282174840374652
TEAD4,0.05862986840647344
TEF,0.574122134486752
TET1,0.08564999119681198
TFAM,0.0831727964920411
TFAP2A,0.05203882327911295
TFAP2B,0.9199545541297933
TFAP2C,0.8532465118589184
TFAP4,0.09654569089659797
TFCP2,0.049614508008577606
TFDP1,0.8364669731808484
TFDP2,0.43992411968070433
TFDP3,0.00595118156984771
TFE3,0.6821140500814176
TFEB,0.17235855301548345
TGFB1I1,0.5096716006889892
TGIF1,0.5662134926935791
THAP11,0.007311110344121565
THRA,0.21732189812156352
THRB,0.776880973661082
TLX1,0.005147862208437769
TLX3,0.5952012812868428
TOX3,0.8359819303353248
TP53,0.020564711859639352
TP63,0.25773894605039904
TP73,0.49814019844646984
TRERF1,0.010125572266028227
TRIM28,0.08756409367388934
TRPS1,0.018735551894112527
TSC22D1,0.0005506589398031487
TTF1,0.12124149124524572
TWIST1,0.02312540840404772
TWIST2,0.014612035957520898
UBTF,0.01206952429521422
USF1,0.021086905351586964
USF2,0.08221157829641768
VDR,0.48791447259435883
VEZF1,2.405053106125072e-05
VHL,0.46762911924918726
VSX2,0.7812219032771541
WT1,0.9688875528787531
WWTR1,0.32809699095641587
XBP1,8.980264710355067e-05
YAP1,0.5426450537786593
YBX1,0.764921468669495
YBX3,0.10343852587970548
YY1,0.6358386557357841
ZBED1,0.637286379236536
ZBTB14,0.6659973668205046
ZBTB16,0.29528090342965685
ZBTB17,0.03380227451251257
ZBTB18,0.15578572037792496
ZBTB32,0.13306210483693556
ZBTB33,0.11959464800094372
ZBTB4,0.0003781960990198922
ZBTB7A,0.572209811923838
ZBTB7B,0.6211490153182635
ZEB1,0.042146927177912234
ZEB2,0.10002532170751431
ZFHX3,0.022229730494025816
ZFP42,0.5730489410157316
ZFPM1,0.062207118538722815
ZFPM2,0.6049484070574825
ZGLP1,0.706091209036571
ZGPAT,0.3409267222852693
ZHX2,0.2025547219701878
ZIC1,0.9194734750785769
ZIC2,0.6919572960091078
ZKSCAN7,0.12839211291155464
ZMYND8,0.6173184921714019
ZNF143,0.13479860198535906
ZNF148,0.5270176034867803
ZNF160,0.6668643972493064
ZNF202,0.3339310470514596
ZNF219,0.15672523862275123
ZNF236,0.08747148320670436
ZNF24,0.16260807820413967
ZNF263,0.2522361570174202
ZNF300,0.0006603601707668947
ZNF331,0.5980076756443761
ZNF335,0.4220966447461414
ZNF350,0.00426093222497345
ZNF354C,0.3634505150445021
ZNF362,0.24878723152831428
ZNF382,0.24202232453706785
ZNF384,0.23488494992878803
ZNF395,0.1627213708024035
ZNF436,0.7295687600620364
ZNF699,0.31206106910291664
ZNF76,0.2608793782508972
ZNF804A,0.94772327114818
ZNF91,0.20633526673559363
ZXDC,0.614033211275016
