,Untreated_WT_vs_Vermurafenib_1uM_WT
FOXO1,0.8658913393372542
FOXO3,0.9583865391889577
FOXO4,0.2956833574657598
FOXP1,0.20526886889052037
FOXP2,0.18717835022030066
FOXP3,0.6694820702956373
FOXQ1,0.7835332820379862
GABPA,0.6603197488793402
GATA1,0.33531890255194263
GATA2,0.17714492579726696
GATA3,0.273146995584748
GATA4,0.61293369554339
GATA5,0.3031370135421618
GATA6,0.6885107400837429
GCM1,0.11085791548436215
GFI1,0.26205864473710117
GFI1B,0.5364565912941148
GLI1,0.005261720411437183
GLI2,0.0158000211727649
GLI3,0.874382045259954
GLIS3,0.6596600212952546
GRHL2,0.09642359591691964
GRHL3,0.941357591959554
GSC,0.056815943269746615
GTF2I,0.16905487309738115
GTF2IRD1,0.35729286645475633
GTF3A,0.07729356267515144
HAND1,0.2610067876697565
HAND2,0.006257941706790789
HBP1,0.9056012360103691
HCFC1,0.2076808917472235
HDAC1,0.4515765190931714
HDAC3,0.1818485210336371
HDAC4,0.3895141498583915
HDAC5,0.3908264897562068
HDAC7,0.002248081926180753
HDAC9,0.6766995386721648
HDGF,0.4363133171693455
HES1,0.15823218047251106
HESX1,0.06803625845078272
HEY1,0.9592439167281104
HEY2,0.1011748032893286
HEYL,0.024305135213412526
HHEX,0.5353151547799011
HIC1,0.40166478573763087
HIF1A,0.0038533590837609762
HIF3A,0.7434721677614544
HINFP,0.02605861305619712
HIPK2,0.36674433625990777
HIVEP1,0.7745423678234444
HIVEP2,0.3197662601426545
HLF,0.30360938462106135
HLX,0.1926688297727424
HMGA1,0.10788594377422414
HMGA2,0.12648230809445568
HMGB2,0.20584110525227514
HNF1A,0.36688998155650054
HNF1B,0.2940951060734716
HNF4A,0.2126263572891975
HNF4G,0.8935800166321403
HOPX,0.21271857729892057
HOXA1,0.15044395804608846
HOXA10,0.5834418722540892
HOXA11,0.28113344795039047
HOXA13,0.013690447842160204
HOXA2,0.33791491615746594
HOXA5,0.39319797011111046
HOXA7,0.953321458074475
HOXA9,0.5141327894095117
HOXB1,4.9813890291580896e-06
HOXB13,0.8886042479483857
HOXB2,0.8481480037477334
HOXB4,0.06612051778306594
HOXB7,0.009479017643812102
HOXB9,0.00964420226981232
HOXC6,0.5891409940448036
HOXC8,0.3960141121495949
HOXD1,0.41762667036039813
HOXD13,0.15179157475589294
HOXD3,0.002443861269795014
HR,0.7173795748484668
HSF1,0.017069877626469186
HSF2,0.3497008772547817
HSF4,0.4412093364498044
HTATIP2,0.4304804722105997
ID1,0.2822296123525604
ID2,0.9325068258904889
ID3,0.9787604014907725
ID4,0.9525409058144466
IKZF1,0.1532452754641781
IKZF4,0.28569903035541966
ING4,0.0009552093318437352
IRF1,0.2178739719183793
IRF2,0.7555278305552123
IRF3,0.4126423644393201
IRF4,0.5270776009088562
IRF5,0.26226960052229886
IRF6,0.6756289280773244
IRF7,0.7254685743740981
IRF8,0.9864627822319818
IRF9,0.05948747019848611
IRX1,0.3369789204711482
ISL1,0.3312380074819963
JARID2,0.7174030481654251
JDP2,0.14312510188560357
JUN,6.4164613493239865e-06
JUNB,0.022623319226384938
JUND,0.8965288246876961
KAT2B,0.008264008422185037
KAT5,0.5014100618435283
KAT6A,0.5898329791117991
KAT6B,0.2572152727538322
KAT7,0.11187146830174918
KCNIP3,0.43455411394691557
KDM2A,0.4187667648346083
KDM5A,0.37114562871810497
KDM5B,0.6196703287009303
KDM5C,0.10777479217546344
KDM5D,0.607088834918927
KLF1,0.05782767678725925
KLF10,0.531206904594496
KLF11,0.6761023618883926
KLF12,0.3902759139505886
KLF13,0.006602199914181997
KLF15,0.7144602837393279
KLF17,0.1506478412522106
KLF2,0.040901310855032395
KLF3,0.20576937890485245
KLF4,0.6922770056602199
KLF5,0.05392969817335479
KLF6,0.14762864152610256
KLF7,0.0060132314583475205
KLF8,0.08823813233915563
KLF9,0.3833367384585694
KMT2A,0.3758677602852444
KMT2B,0.37459460477569884
LEF1,0.08743299978637166
LHX1,0.7709499327735414
LHX2,0.9643474805035046
LHX3,0.2302952206360126
LHX8,0.06841019035016052
LITAF,0.7699075778486667
LMO2,0.10487609811080889
LMX1B,0.7263782986902058
LRRFIP1,0.4699728038132406
LYL1,0.6333338092513427
MAF,0.16164622475701834
MAFA,0.722491270803548
MAFB,0.8624052018001112
MAFG,0.3871332159079556
MAFK,0.899781617255573
MAML1,0.23318130190111225
MAX,0.06198372165750368
MAZ,0.34328479637292275
MBD1,0.09686129596929746
MBD2,0.2297448954431282
MECOM,0.6453290566407013
MECP2,0.2773711089158481
MED1,0.19652113265105772
MEF2A,0.6017981837501761
MEF2B,0.039458390383614365
MEF2C,0.37927717550261975
MEF2D,0.3483913876653051
MEIS1,0.5711927632892787
MEOX1,0.006389466277801925
MEOX2,0.0033809970436308578
MESP2,0.00026750187242686644
MITF,0.8892782781718837
MIXL1,0.9175078527005435
MKX,0.27757593840630873
MLXIPL,0.7569213354320732
MNT,0.6804631827191145
MSC,0.5916881872800357
MSX1,0.0872424182242111
MSX2,0.6678803593088991
MTA1,0.024152019895436614
MTA3,0.662232579316216
MTF1,0.1670693887170818
MTF2,0.05565563750783166
MXD1,0.30410428780720783
MXI1,0.5536250914596709
MYB,0.014340393921516854
MYBL1,0.013666221505568841
MYBL2,0.0461413177223989
MYC,2.913848996206614e-21
MYCN,0.3933993452097304
MYF5,0.3832266621481465
MYF6,0.13954629258090195
MYOCD,0.01217273515495938
MYOD1,0.5157417900569305
MYOG,0.017477135901088462
MYRF,0.6192262508974529
MYT1,0.06763474439657355
MZF1,0.6581386333906827
NAB2,0.31914535203607036
NANOG,0.09468005570681966
NCOA1,0.24301500874607734
NCOA2,0.35412322417328923
NCOA3,0.14208423820897415
NCOR1,0.3376140628889267
NCOR2,0.6760834037708081
NEUROD1,0.45902635281821125
NEUROD2,0.018418512976924935
NEUROD6,0.5239592975683692
NEUROG1,0.09511686704907636
NEUROG2,0.03786633395205353
NEUROG3,0.11326731465612865
NFAT5,0.14521051081351358
NFATC1,0.13504414725927333
NFATC2,0.005250129459808158
NFATC3,0.060563209528083445
NFATC4,0.02345709129567436
NFE2,0.18838996470074165
NFE2L1,0.3639136035213275
NFE2L2,0.3231688058805312
NFE2L3,0.151047011572852
NFIA,0.5394496805103954
NFIB,0.816213385904745
NFIC,0.8203798341934113
NFIL3,0.6536036398284448
NFIX,0.7393974355910728
NFKB,0.000265217574774546
NFKB1,0.00017843785998629467
NFKB2,0.0006579259476107381
NFKBIB,0.058188494517197806
NFX1,0.06526162895046646
NFYA,0.012626820206986777
NFYB,0.8530749071544179
NFYC,0.2586595902150797
NKRF,0.08059266680604585
NKX2-1,0.02174424699764191
NKX2-2,0.11456812158612893
NKX2-5,0.13779469341533793
NKX3-1,0.9558252942361571
NKX3-2,0.8419691083949312
NKX6-1,0.026773809907814593
NONO,0.9613019795587276
NOTCH1,0.9022032219847982
NOTO,0.9787874919242476
NPAS2,0.19965914583337885
NPM1,0.11407416862680149
NR0B1,0.8587899697796215
NR0B2,0.7399828311902732
NR1D1,0.5432864683757019
NR1H2,0.6653800803804948
NR1H3,0.4129935196607958
NR1H4,0.5292090436593215
NR1I2,0.09494644021635061
NR1I3,0.49721207574552495
NR2C1,0.0838598573654353
NR2C2,0.6370435455038792
NR2E1,0.01703097226152871
NR2E3,0.1019535530337826
NR2F1,0.03803407551509952
NR2F2,0.888799791799775
NR3C1,0.18991249605933783
NR3C2,0.003291370369612195
NR4A1,0.594517555880766
NR4A2,0.22985065804610297
NR4A3,0.294734102313137
NR5A1,0.31678009745126023
NR5A2,0.7987952096041544
NR6A1,0.44173763019842593
NRF1,0.011824140053241828
NRG1,0.3265612169874278
NRL,0.9049998105483372
NSD2,0.5955358226545019
NUPR1,0.2078429260695648
OLIG1,0.5219974236049241
OLIG2,0.5318751285187031
ONECUT1,0.9784935200664704
OTX2,0.6599709219981779
OVOL1,0.7365632366405934
PARK7,0.0022030003283930485
PATZ1,0.1350916286782879
PAWR,0.013755386351923376
PAX1,0.8328478535914577
PAX2,0.00524804206169319
PAX3,0.29597086840483
PAX5,0.5711867677071745
PAX6,0.18395812484563098
PAX7,0.13859013640212492
PAX8,0.013134289208603496
PAX9,0.16885662043705985
PBRM1,0.040773748247525374
PBX1,0.9174271077292742
PDX1,0.20766287448083565
PEG3,0.9522632493209465
PGR,0.030382704524717637
PHF20,0.9101351953358259
PHOX2A,0.347096664226057
PHOX2B,0.8655956191853887
PIN1,0.045490222112612506
PITX1,0.3851922418952377
PITX2,0.2938466423814841
PITX3,0.00676365425949823
PKNOX1,0.8537237059573215
PLAG1,0.6800978630963683
PLAGL1,0.4212001927341881
PML,0.09147003768181594
POU1F1,0.8318559645233677
POU2F1,0.3473573880249119
POU2F2,0.3944703299272354
POU2F3,0.832949140842208
POU3F1,0.5886731679051698
POU3F2,0.9184695907349554
POU4F1,0.6584258265898767
POU4F2,0.7370518596553763
POU5F1,0.06282202845136706
PPARA,0.6168455899525004
PPARD,0.030545152680659805
PPARG,0.014942339792365129
PPARGC1A,0.2582179309985732
PRDM1,0.1517644706577283
PRDM2,0.21784588360602652
PRDM4,0.8398446904143468
PREB,0.16588417207571274
PROP1,0.9410718572836719
PROX1,0.5012120502497306
PRRX1,0.7831320949549693
PTF1A,0.8576386732222684
PURA,0.5967562202145671
RARA,0.29773144118621797
RARB,0.33948851106865885
RARG,0.6651543834206649
RB1,0.05452763459976835
RBPJ,0.0467309260542285
RCOR2,0.008328065694350668
REL,0.49644260240977545
RELA,4.484584908488273e-06
RELB,0.043431002203297445
REST,0.24563143729777584
RFX1,0.37752334622759676
RFX3,0.7413269345705437
RFX5,0.7784980657860471
RFXANK,0.6403552262226279
RFXAP,0.9915298328437062
RORA,0.5969425764963663
RORB,0.7837195163361276
RORC,0.5187132899900928
RREB1,0.9597541595441299
RUNX1,0.859140954333673
RUNX2,0.07150777652370488
RUNX3,0.00688833726091249
RXRA,0.7165104485219453
RXRB,0.8581979199833074
RXRG,0.45997288788377777
SALL1,0.03268814199245315
SALL2,0.000872748886776836
SALL3,0.35052054659055076
SALL4,0.7568466968936842
SATB1,0.8502934163258765
SATB2,0.3109562960296696
SCX,0.05226062487487061
SETBP1,0.5405470262527146
SF1,0.4883816796166309
SFPQ,0.35295442066076466
SHOX2,0.7270770156216628
SIM2,0.91989448492134
SIN3A,0.6917704906793196
SIRT1,0.8181487897043183
SIX1,0.0003283073670853506
SIX3,0.013295127106614391
SIX4,0.0781366959243777
SKIL,0.12110342532557032
SMAD1,0.015076012738304907
SMAD2,0.2833676677664769
SMAD3,0.005782911755118689
SMAD4,0.6841514000425661
SMAD5,0.34345785468136314
SMAD6,0.5552350923153789
SMAD7,0.14573431839699758
SMAD9,0.8402696536215454
SMARCA1,0.37885835590278993
SMARCA4,0.020262372051177254
SMARCA5,0.13178543899083922
SMARCB1,0.40845766409543394
SMARCC1,0.3236968525002173
SNAI1,0.03861673489039036
SNAI2,0.008985811352237454
SOX10,0.9515264542365043
SOX11,0.7079982123890014
SOX17,0.4702919165470697
SOX2,0.11486967977080959
SOX4,0.09760108585768651
SOX5,0.8474426507364523
SOX6,0.04328595727733615
SOX9,0.03891166477165314
SP1,0.0009562847513934412
SP2,0.5355158215845571
SP3,0.02042527326942493
SP4,0.9394856313873604
SP7,0.3911822890461848
SPDEF,0.0030815669755379586
SPI1,0.8607775984645138
SPIB,0.8177982982956178
SPIC,0.833946638467237
SREBF1,0.20912296717677908
SREBF2,0.2338667635606648
SRF,0.009383090427341334
SRSF2,0.017204628586448268
SRY,0.16989319387080776
SSRP1,0.3300452738042897
STAT1,0.6808959841826288
STAT2,0.8393797412659172
STAT3,7.945273066436224e-05
STAT4,0.5328349020285512
STAT5A,0.9326657680693894
STAT5B,0.788200058217866
STAT6,0.6567712828438299
TADA2A,0.2375337237921857
TAF1,0.18607353823397985
TAL1,0.6260572552810899
TBP,0.1614915927366834
TBPL1,0.4721231677946357
TBPL2,0.31949960053145066
TBX1,0.0014311637215232485
TBX15,0.4603719995130998
TBX18,0.2944336730998276
TBX2,0.5413430733493979
TBX20,0.3328041661561907
TBX21,0.9322393023058066
TBX3,0.09983625982911835
TBX5,0.05735793359650569
TBX6,0.02898817025546184
TBXT,0.2483846429213355
TCF12,0.6321891683665104
TCF15,0.424644248617598
TCF21,0.2574411520982431
TCF3,0.9753290448276952
TCF4,0.0008282129832735737
TCF7,0.05158612580499554
TCF7L2,1.8195903508824685e-07
TEAD1,0.0046090268600218415
TEAD2,0.6706713294871598
TEAD4,0.0538967716434931
TEF,0.18634785830781755
TET1,0.2576145981793893
TFAM,0.010745303308891072
TFAP2A,0.08821923104053798
TFAP2B,0.15271226445901698
TFAP2C,0.7813920582019434
TFAP4,0.2881326362234325
TFCP2,0.030565822949218356
TFDP1,0.14505082139297926
TFDP2,0.4713732815321865
TFDP3,0.005269454085673655
TFE3,0.6046966629410321
TFEB,0.24521495483417202
TGFB1I1,0.5961213110582636
TGIF1,0.6114025408443191
THAP11,0.014107905342303951
THRA,0.21780827338265293
THRB,0.37847692802534305
TLX1,0.09403773187042663
TLX3,0.6337958812454194
TOX3,0.5249438262105277
TP53,0.30347778842038964
TP63,0.15334089396622338
TP73,0.7737912887476116
TRERF1,0.021568899366873805
TRIM28,0.25051236602801524
TRPS1,0.009413580402601032
TSC22D1,0.0008762550134811516
TTF1,0.16955039864702978
TWIST1,0.1493099989094128
TWIST2,0.05969364883948751
UBTF,0.052283934603921646
USF1,0.4730771748892246
USF2,0.2518498034434253
VDR,0.22719151302129018
VEZF1,3.694524257173252e-05
VHL,0.29948300829597946
VSX2,0.648680169292957
WT1,0.2918754082237143
WWTR1,0.34676809379792584
XBP1,0.0002001322328077996
YAP1,0.9917817289144691
YBX1,0.5436050432844455
YBX3,0.17232699599846169
YY1,0.9999029573726942
ZBED1,0.787051260164249
ZBTB14,0.45431220628971836
ZBTB16,0.9665043532337995
ZBTB17,0.03846634397643614
ZBTB18,0.15985303651184768
ZBTB32,0.03441666839378824
ZBTB33,0.06965084664274408
ZBTB4,0.0018407261235897502
ZBTB7A,0.5699346321361694
ZBTB7B,0.5551518567877465
ZEB1,0.05472823177533184
ZEB2,0.09499711779257097
ZFHX3,0.028889696309854534
ZFP42,0.6297436871411978
ZFPM1,0.0902239604682407
ZFPM2,0.29688337278020016
ZGLP1,0.6713943741550477
ZGPAT,0.26370674238561004
ZHX2,0.16657741996924422
ZIC1,0.6987181684759979
ZIC2,0.8492608012894642
ZKSCAN7,0.22339814695344887
ZMYND8,0.875348328735081
ZNF143,0.3142043670897912
ZNF148,0.42041007160192556
ZNF160,0.6439610320298044
ZNF202,0.38276192127635067
ZNF219,0.2465446134695979
ZNF236,0.04967365560572601
ZNF24,0.02680458101682827
ZNF263,0.10703219580146675
ZNF300,0.006651332094214214
ZNF331,0.7696207370669932
ZNF335,0.5238617545788867
ZNF350,0.030339966323457732
ZNF354C,0.4166215715986914
ZNF362,0.27744060439119245
ZNF382,0.5659682007919262
ZNF384,0.3580702987969747
ZNF395,0.17921631446738817
ZNF436,0.971663703491034
ZNF699,0.38731633337926896
ZNF76,0.30309408478260863
ZNF804A,0.7181556272909042
ZNF91,0.28506733240172916
ZXDC,0.4858934197129736
