,Untreated_WT_vs_Trametinib_10nM_WT
EGR4,0.9966595
EHF,-1.6351224
ELF1,-2.2607672
ELF2,-0.19553909
ELF3,-0.909639
ELF4,-0.7385934
ELF5,-0.62688655
ELK1,-1.3412944
ELK3,3.3727415
ELK4,-3.4106178
EMX2,0.029703947
EN1,1.1942189
ENO1,1.6291906
EOMES,-1.0074806
EP300,-0.53949976
EPAS1,0.6361486
ERF,0.3080233
ERG,0.1763058
ESR1,-2.5989056
ESR2,2.8644025
ESRRA,0.15359119
ESRRB,-0.88859856
ESRRG,1.1273967
ETS1,-4.017677
ETS2,-0.12843771
ETV1,-1.2613316
ETV2,0.50080144
ETV3,3.7844915
ETV4,-1.1351943
ETV5,-2.5302393
ETV6,0.64913183
ETV7,0.24814267
EWSR1,0.044496667
EZH2,-0.566041
FEV,0.43229213
FEZF1,2.6767638
FEZF2,-0.30952755
FGF2,-0.86116064
FHL2,1.7618047
FLI1,0.30599034
FOS,-3.198648
FOSB,-0.7195481
FOSL1,-0.14103442
FOSL2,-0.39831105
FOXA1,-1.2994682
FOXA2,2.0377235
FOXC1,-0.90009475
FOXC2,-2.3115733
FOXD1,-2.443874
FOXD3,-0.4230418
FOXF2,-0.4359128
FOXG1,-1.2063737
FOXH1,0.06951747
FOXI1,1.0069017
FOXJ1,0.9265828
FOXL2,-2.4363115
FOXM1,-0.27118817
FOXN1,1.9155995
FOXO1,0.06812531
FOXO3,-0.111454934
FOXO4,1.039013
FOXP1,-1.157573
FOXP2,1.2238997
FOXP3,0.3101464
FOXQ1,0.36484635
GABPA,-0.3734768
GATA1,-1.149591
GATA2,-1.5211397
GATA3,-1.1263072
GATA4,-0.7063872
GATA5,-0.6926285
GATA6,-0.6169878
GCM1,-1.201225
GFI1,1.0189884
GFI1B,-0.3262005
GLI1,-2.872141
GLI2,-1.9519268
GLI3,-0.34235498
GLIS3,0.5495251
GRHL2,1.5083961
GRHL3,-0.3062639
GSC,-1.9001691
GTF2I,-1.1339626
GTF2IRD1,0.63687146
GTF3A,-1.7320449
HAND1,-1.2497902
HAND2,-2.9002001
HBP1,-0.24411368
HCFC1,-0.72572625
HDAC1,0.7262314
HDAC3,-1.7579408
HDAC4,-0.6381296
HDAC5,1.1625948
HDAC7,2.7302117
HDAC9,0.5732109
HDGF,0.59088343
HES1,1.1893653
HESX1,-1.5730315
HEY1,-0.23663682
HEY2,1.6229334
HEYL,2.4606588
HHEX,-0.27457863
HIC1,0.84602267
HIF1A,-2.240332
HIF3A,0.2984879
HINFP,-2.1829748
HIPK2,0.84980816
HIVEP1,0.19998956
HIVEP2,0.7070295
HLF,0.6107633
HLX,2.240246
HMGA1,-1.4543121
HMGA2,-1.0320297
HMGB2,1.3513441
HNF1A,0.7376172
HNF1B,0.93564403
HNF4A,-0.89327884
HNF4G,0.09115909
HOPX,-0.61364245
HOXA1,-1.3624527
HOXA10,-0.8003804
HOXA11,-1.1889623
HOXA13,2.4775765
HOXA2,0.9149623
HOXA5,-0.99981004
HOXA7,0.10909425
HOXA9,-0.7655198
HOXB1,-4.6009526
HOXB13,0.29915866
HOXB2,-0.033207774
HOXB4,-2.3301067
HOXB7,-2.6830118
HOXB9,-2.70724
HOXC6,0.31184694
HOXC8,-0.70912504
HOXD1,1.0098213
HOXD13,1.7730045
HOXD3,-2.9802508
HR,-0.41599542
HSF1,-1.9850013
HSF2,-0.30356354
HSF4,1.3532611
HTATIP2,1.1828125
ID1,-0.94208825
ID2,-0.14396226
ID3,0.5241981
ID4,-0.090947025
IKZF1,-1.3809313
IKZF4,0.8059721
ING4,3.2987034
IRF1,0.8474997
IRF2,-0.108596824
IRF3,-0.5902535
IRF4,0.40474182
IRF5,0.8880147
IRF6,-0.6473537
IRF7,-1.1046059
IRF8,0.07182487
IRF9,1.957938
IRX1,-0.68836385
ISL1,1.0241944
JARID2,0.63302654
JDP2,1.604765
JUN,-3.967979
JUNB,-2.0295756
JUND,0.13265015
KAT2B,3.0136323
KAT5,-0.34259146
KAT6A,0.7575611
KAT6B,1.2300106
KAT7,-1.2608169
KCNIP3,1.1264801
KDM2A,0.78066236
KDM5A,-0.86461407
KDM5B,0.36763683
KDM5C,-1.3942956
KDM5D,-0.64115435
KLF1,2.132606
KLF10,0.81335
KLF11,0.578069
KLF12,-0.84558266
KLF13,2.709739
KLF15,-0.7326386
KLF17,1.6284983
KLF2,2.0354588
KLF3,1.330768
KLF4,0.49814087
KLF5,-2.0415788
KLF6,1.2924074
KLF7,2.785467
KLF8,-2.1429737
KLF9,0.81972086
KMT2A,-0.77069896
KMT2B,1.0770129
LEF1,-1.6155044
LHX1,-0.3113973
LHX2,-0.22141936
LHX3,-1.0839983
LHX8,-1.8596
LITAF,-0.20976862
LMO2,1.6839207
LMX1B,-0.4510548
LRRFIP1,1.1627104
LYL1,0.62285787
MAF,1.2839102
MAFA,-0.6637607
MAFB,0.56409234
MAFG,1.093779
MAFK,0.1354213
MAML1,0.9603391
MAX,1.7349533
MAZ,-0.9311207
MBD1,-1.4278504
MBD2,-0.9847865
MECOM,0.6994689
MECP2,-0.99489766
MED1,-0.930038
MEF2A,0.6705331
MEF2B,2.511256
MEF2C,1.3375015
MEF2D,1.2739745
MEIS1,-0.7677673
MEOX1,2.575435
MEOX2,3.0597408
MESP2,-3.9081905
MITF,-0.15653698
MIXL1,0.027758695
MKX,1.2051167
MLXIPL,-0.3755121
MNT,-0.45890597
MSC,-0.9236737
MSX1,-1.4884647
MSX2,-0.46825358
MTA1,-2.3426597
MTA3,-0.248945
MTF1,-1.18515
MTF2,-2.12708
MXD1,-1.0873424
MXI1,-0.91522014
MYB,-2.253289
MYBL1,-2.2794986
MYBL2,-1.726664
MYC,-8.800478
MYCN,-0.9195312
MYF5,0.91428506
MYF6,-1.1468697
MYOCD,2.5135512
MYOD1,0.7436811
MYOG,2.6404924
MYRF,-0.5838626
MYT1,1.5929527
MZF1,0.3516896
NAB2,1.6611359
NANOG,-1.6621963
NCOA1,-0.71655065
NCOA2,-0.56426734
NCOA3,-0.7929803
NCOR1,0.8188786
NCOR2,0.4975929
NEUROD1,0.924753
NEUROD2,-2.3997145
NEUROD6,0.86833644
NEUROG1,-1.4827083
NEUROG2,1.9810928
NEUROG3,1.6400905
NFAT5,-1.0188024
NFATC1,-1.7354287
NFATC2,-2.7686143
NFATC3,1.8376182
NFATC4,2.0950146
NFE2,-1.1365905
NFE2L1,-1.1958039
NFE2L2,-0.81618035
NFE2L3,1.3383738
NFIA,-0.44622883
NFIB,0.2535463
NFIC,0.88925576
NFIL3,0.52409166
NFIX,-0.42752558
NFKB,-2.8554132
NFKB1,-3.5596118
NFKB2,-3.33171
NFKBIB,-1.9722415
NFX1,-2.2030485
NFYA,-2.6901736
NFYB,-0.6513724
NFYC,-1.3394948
NKRF,-1.6766572
NKX2-1,-2.1780732
NKX2-2,1.1361482
NKX2-5,1.4810318
NKX3-1,0.25145167
NKX3-2,0.299478
NKX6-1,-2.2225823
NONO,0.008598035
NOTCH1,0.06773332
NOTO,-0.18842266
NPAS2,-1.374276
NPM1,-1.3192687
NR0B1,0.016299961
NR0B2,-0.4282928
NR1D1,0.9490362
NR1H2,0.41360852
NR1H3,0.83931965
NR1H4,-0.932414
NR1I2,-1.4862951
NR1I3,0.7903562
NR2C1,1.5637497
NR2C2,-0.6594761
NR2E1,-2.579008
NR2E3,1.0914974
NR2F1,-2.1174252
NR2F2,0.03304564
NR3C1,-0.99518526
NR3C2,-2.8542516
NR4A1,-0.5471817
NR4A2,1.1557642
NR4A3,-1.3431975
NR5A1,1.4814517
NR5A2,-0.540429
NR6A1,0.6029836
NRF1,-2.366634
NRG1,-0.58756846
NRL,0.43012673
NSD2,-0.5995153
NUPR1,1.1435583
OLIG1,-0.89733905
OLIG2,0.9054905
ONECUT1,0.22086743
OTX2,0.13050935
OVOL1,-0.17662477
PARK7,-3.0658147
PATZ1,-1.791566
PAWR,2.3789268
PAX1,-0.10945816
PAX2,-2.8968706
PAX3,-0.86679006
PAX5,-0.50639266
PAX6,1.8034003
PAX7,1.4442815
PAX8,-2.13633
PAX9,-0.9521409
PBRM1,2.2489011
PBX1,-0.19047976
PDX1,1.7223927
PEG3,-0.16683324
PGR,-1.8215822
PHF20,-0.035045754
PHOX2A,1.1319094
PHOX2B,0.12053419
PIN1,-1.9758867
PITX1,-1.0734653
PITX2,-0.7292531
PITX3,-2.7614348
PKNOX1,0.32151765
PLAG1,-0.9298329
PLAGL1,0.8877093
PML,2.1926057
POU1F1,-0.118491836
POU2F1,1.0907558
POU2F2,0.7598939
POU2F3,-0.33999425
POU3F1,-0.43745732
POU3F2,-0.0636684
POU4F1,0.73597115
POU4F2,-0.14829545
POU5F1,-1.7079535
PPARA,0.41665545
PPARD,-2.3714569
PPARG,2.2386725
PPARGC1A,0.8586022
PRDM1,-1.5708104
PRDM2,0.90568763
PRDM4,-0.22940516
PREB,1.412096
PROP1,0.106510095
PROX1,1.039934
PRRX1,-0.19692546
PTF1A,0.23572879
PURA,0.6146045
RARA,-0.7535038
RARB,-1.0635765
RARG,-0.61395115
RB1,1.8821372
RBPJ,-2.1139836
RCOR2,-2.4371817
REL,-0.63564646
RELA,-4.376282
RELB,-1.9445344
REST,-1.1540239
RFX1,0.68216175
RFX3,-0.61300933
RFX5,-0.60107684
RFXANK,0.16836128
RFXAP,-0.22724092
RORA,0.0066655283
RORB,-0.16959655
RORC,0.820375
RREB1,0.03807948
RUNX1,-0.045987237
RUNX2,-1.5432736
RUNX3,2.7640011
RXRA,-0.41257024
RXRB,-0.20595245
RXRG,-0.9058476
SALL1,-2.4948416
SALL2,3.4359002
SALL3,0.6885259
SALL4,0.2845122
SATB1,0.14141947
SATB2,-0.8144285
SCX,1.892969
SETBP1,0.40533492
SF1,0.42927685
SFPQ,-0.5168005
SHOX2,0.008196811
SIM2,-0.19049482
SIN3A,0.43401745
SIRT1,-0.051786862
SIX1,-3.1641486
SIX3,2.3967907
SIX4,-1.0686277
SKIL,1.51406
SMAD1,-2.630459
SMAD2,-1.0755343
SMAD3,-2.540785
SMAD4,0.059768904
SMAD5,1.1315049
SMAD6,-0.38613147
SMAD7,-1.2477165
SMAD9,-0.32429236
SMARCA1,-0.64241827
SMARCA4,2.6619925
SMARCA5,-1.4359967
SMARCB1,-0.5555385
SMARCC1,-0.69516397
SNAI1,-1.9260163
SNAI2,2.5034149
SOX10,-0.026898976
SOX11,-0.44454297
SOX17,-1.0923059
SOX2,-1.6168292
SOX4,1.7568978
SOX5,-0.001172618
SOX6,1.9453883
SOX9,2.4146457
SP1,-2.72053
SP2,-0.708021
SP3,-2.1453414
SP4,0.49162248
SP7,-1.0180278
SPDEF,3.0933776
SPI1,-0.34300518
SPIB,0.020881994
SPIC,-0.3498246
SREBF1,1.9209877
SREBF2,-0.5016477
SRF,-2.466802
SRSF2,-1.792447
SRY,-1.4790331
SSRP1,-1.2216802
STAT1,-0.33826062
STAT2,0.23615839
STAT3,-3.5108726
STAT4,-0.84502923
STAT5A,0.289612
STAT5B,0.18085396
STAT6,-0.48302326
TADA2A,-1.0383129
TAF1,-1.013115
TAL1,0.53487456
TBP,-1.1658498
TBPL1,0.95318174
TBPL2,0.95453405
TBX1,-3.2088928
TBX15,-0.54914516
TBX18,0.8402837
TBX2,-0.620116
TBX20,-0.52489203
TBX21,-0.31432775
TBX3,-1.6563916
TBX5,-1.8835907
TBX6,1.812251
TBXT,-0.9312214
TCF12,-0.4976097
TCF15,0.6044997
TCF21,-1.1477995
TCF3,0.25070807
TCF4,-3.043221
TCF7,-2.1180468
TCF7L2,-5.2655406
TEAD1,-3.1968684
TEAD2,0.46395752
TEAD4,-1.8911525
TEF,1.5989499
TET1,1.1186011
TFAM,-2.2091334
TFAP2A,-1.4778764
TFAP2B,-1.0815823
TFAP2C,0.22215207
TFAP4,-0.8298385
TFCP2,-1.9072326
TFDP1,-1.0060601
TFDP2,-1.0375748
TFDP3,3.069631
TFE3,0.32395023
TFEB,1.334135
TGFB1I1,-0.603056
TGIF1,0.814019
THAP11,2.8162663
THRA,1.1911145
THRB,-0.8954444
TLX1,-1.9541332
TLX3,0.6694904
TOX3,0.69361943
TP53,-0.9682001
TP63,1.3920474
TP73,0.40222594
TRERF1,2.227423
TRIM28,1.135505
TRPS1,-2.7007186
TSC22D1,3.4550812
TTF1,-1.2153997
TWIST1,-1.2427777
TWIST2,-1.8487667
UBTF,-1.7519622
USF1,-1.1581523
USF2,-0.9313083
VDR,1.3904799
VEZF1,-4.353063
VHL,0.92555577
VSX2,0.40420476
WT1,1.4050878
WWTR1,-0.7023247
XBP1,-3.6450489
YAP1,0.42134175
YBX1,0.6613252
YBX3,1.5905669
YY1,0.29371944
ZBED1,-0.23680831
ZBTB14,0.44368273
ZBTB16,-0.18775192
ZBTB17,-1.5668857
ZBTB18,-1.3749903
ZBTB32,2.0495677
ZBTB33,1.9151435
ZBTB4,-3.3985312
ZBTB7A,0.5034139
ZBTB7B,0.00035800427
ZEB1,-1.5785339
ZEB2,2.135668
ZFHX3,2.4566722
ZFP42,-0.18210231
ZFPM1,1.7963398
ZFPM2,0.7793099
ZGLP1,0.87611735
ZGPAT,1.4572041
ZHX2,1.2088474
ZIC1,-0.3812566
ZIC2,0.1266246
ZKSCAN7,-1.2430997
ZMYND8,0.4007648
ZNF143,1.5295806
ZNF148,0.86543727
ZNF160,0.46043253
ZNF202,1.265129
ZNF219,1.0820241
ZNF236,1.8618262
ZNF24,-2.0626094
ZNF263,-1.4135659
ZNF300,-2.8214648
ZNF331,-0.6952735
ZNF335,-0.64148426
ZNF350,2.2953036
ZNF354C,-1.0396342
ZNF362,-1.2543858
ZNF382,0.469688
ZNF384,0.6805201
ZNF395,1.6051782
ZNF436,-0.21351758
ZNF699,1.044575
ZNF76,-0.7591181
ZNF804A,0.00772574
ZNF91,1.2077737
ZXDC,-0.81714267
