,Untreated_ARID1A_KO_vs_Vermurafenib_1uM_ARID1A_KO
GFI1B,-0.80358076
GLI1,-3.5285199
GLI2,-3.3771827
GLI3,0.27277142
GLIS3,-0.07505962
GRHL2,2.3469393
GRHL3,0.8653507
GSC,-1.2951142
GTF2I,-1.4011359
GTF2IRD1,0.9495575
GTF3A,-1.6359556
HAND1,-1.1027583
HAND2,-1.9215082
HBP1,0.00072447915
HCFC1,-0.084852315
HDAC1,0.39440438
HDAC3,-0.8981011
HDAC4,-1.3950775
HDAC5,-0.48969352
HDAC7,2.952439
HDAC9,0.90115374
HDGF,-0.119292155
HES1,0.39725503
HESX1,-1.3554264
HEY1,-0.27799654
HEY2,2.2625856
HEYL,2.1933794
HHEX,-0.80446213
HIC1,-0.42839172
HIF1A,-3.184859
HIF3A,-0.07276944
HINFP,-2.1375453
HIPK2,1.2636732
HIVEP1,0.31925938
HIVEP2,1.1007385
HLF,1.6309029
HLX,1.185612
HMGA1,-1.500405
HMGA2,-0.8805313
HMGB2,1.8551267
HNF1A,0.32231617
HNF1B,0.23702338
HNF4A,-1.2593564
HNF4G,-0.20394489
HOPX,-1.893712
HOXA1,-1.522912
HOXA10,-0.23508316
HOXA11,-0.7628281
HOXA13,3.1906414
HOXA2,0.4114227
HOXA5,-1.5454848
HOXA7,-0.46513137
HOXA9,0.17499323
HOXB1,-4.084979
HOXB13,-0.35670808
HOXB2,-0.20393845
HOXB4,-1.789745
HOXB7,-3.0136468
HOXB9,-0.96130633
HOXC6,1.1188608
HOXC8,-1.4625682
HOXD1,0.31991914
HOXD13,1.7726672
HOXD3,-2.782851
HR,-0.45892087
HSF1,-2.756112
HSF2,-0.4503451
HSF4,0.9333004
HTATIP2,0.7927129
ID1,0.2061248
ID2,-0.19432561
ID3,0.257345
ID4,0.4878376
IKZF1,-1.0680783
IKZF4,0.4787678
ING4,3.088981
IRF1,1.0596393
IRF2,-0.110095054
IRF3,-0.3881556
IRF4,1.2744732
IRF5,1.6425936
IRF6,-1.2716128
IRF7,-0.077295475
IRF8,0.1773167
IRF9,2.4350195
IRX1,-0.5083179
ISL1,1.2607619
JARID2,0.2989566
JDP2,0.70035523
JUN,-4.6842623
JUNB,-1.7949833
JUND,0.3899659
KAT2B,3.0009196
KAT5,0.04446784
KAT6A,-0.11198382
KAT6B,-0.04999295
KAT7,-2.0928054
KCNIP3,1.5005972
KDM2A,0.88031906
KDM5A,-0.24745825
KDM5B,0.6498084
KDM5C,-1.8505169
KDM5D,-1.1527103
KLF1,2.6187956
KLF10,-0.13681681
KLF11,-0.35345098
KLF12,-1.6812471
KLF13,1.645501
KLF15,0.27772936
KLF17,1.0521848
KLF2,1.8291051
KLF3,1.488712
KLF4,-0.066253096
KLF5,-0.8357331
KLF6,0.87605965
KLF7,3.5300684
KLF8,-1.2666575
KLF9,1.0943753
KMT2A,-0.8289526
KMT2B,1.6567098
LEF1,-1.381172
LHX1,0.22293878
LHX2,-0.749351
LHX3,-1.0608014
LHX8,-1.9490365
LITAF,-0.7843566
LMO2,1.952968
LMX1B,0.108140394
LRRFIP1,0.766879
LYL1,0.24797897
MAF,0.8418057
MAFA,-0.78399
MAFB,0.16315071
MAFG,1.2764177
MAFK,0.2910242
MAML1,1.5155723
MAX,1.4406086
MAZ,-0.6309019
MBD1,-0.6135577
MBD2,-1.1115298
MECOM,0.40712577
MECP2,-1.4832278
MED1,-1.1392477
MEF2A,0.31851712
MEF2B,1.2272973
MEF2C,0.44518685
MEF2D,0.26018852
MEIS1,-0.1848877
MEOX1,2.7693968
MEOX2,3.315956
MESP2,-3.9764135
MITF,0.11699491
MIXL1,0.6761516
MKX,0.40414506
MLXIPL,-0.29495162
MNT,-0.49736163
MSC,-0.35150668
MSX1,-0.89958197
MSX2,-0.12109119
MTA1,-1.9314208
MTA3,-1.149733
MTF1,-1.2275268
MTF2,-1.8127346
MXD1,-1.5498525
MXI1,-0.42682627
MYB,-2.2987406
MYBL1,-1.9678378
MYBL2,-2.5216844
MYC,-8.540699
MYCN,-0.6256858
MYF5,-0.44036406
MYF6,-0.73924494
MYOCD,2.4571445
MYOD1,-0.4635542
MYOG,2.2016902
MYRF,-0.76582175
MYT1,1.3674651
MZF1,-0.46029103
NAB2,0.57356805
NANOG,-1.3367244
NCOA1,-1.4847369
NCOA2,-1.3001102
NCOA3,-1.731098
NCOR1,-0.16184683
NCOR2,0.5420958
NEUROD1,0.3625105
NEUROD2,-3.2906895
NEUROD6,0.7293384
NEUROG1,-2.4389768
NEUROG2,1.1989064
NEUROG3,1.0195609
NFAT5,-1.6366569
NFATC1,-0.8552813
NFATC2,-1.7006705
NFATC3,1.5037119
NFATC4,0.9918351
NFE2,-2.1314974
NFE2L1,-1.617883
NFE2L2,-1.1611265
NFE2L3,1.5363318
NFIA,-0.21652417
NFIB,1.2225555
NFIC,-1.2396014
NFIL3,0.66595703
NFIX,0.15036692
NFKB,-3.6369357
NFKB1,-3.356784
NFKB2,-2.8213878
NFKBIB,-1.4291918
NFX1,-2.2047336
NFYA,-1.706857
NFYB,0.34363687
NFYC,-0.7961107
NKRF,-1.5740039
NKX2-1,-1.8088838
NKX2-2,0.8889974
NKX2-5,0.9203434
NKX3-1,-0.6168922
NKX3-2,0.36207435
NKX6-1,-2.5989122
NONO,-0.27434805
NOTCH1,0.7040848
NOTO,-0.0042731483
NPAS2,-1.449891
NPM1,-1.2457498
NR0B1,0.19142562
NR0B2,-1.7085152
NR1D1,-0.38498452
NR1H2,0.05734188
NR1H3,0.9185166
NR1H4,-0.2748739
NR1I2,-2.0157723
NR1I3,0.51531744
NR2C1,1.6621264
NR2C2,-0.16496502
NR2E1,-2.8462126
NR2E3,1.3064843
NR2F1,-2.4000313
NR2F2,1.6484547
NR3C1,0.21160834
NR3C2,-3.287223
NR4A1,-0.62653375
NR4A2,1.5871148
NR4A3,-0.4065626
NR5A1,1.2465955
NR5A2,-0.646635
NR6A1,0.76695126
NRF1,-2.1975691
NRG1,-1.1314385
NRL,-0.30720899
NSD2,-0.4435799
NUPR1,1.2148609
OLIG1,-0.04164565
OLIG2,1.1101182
ONECUT1,0.52721
OTX2,-0.20910905
OVOL1,0.03939134
PARK7,-2.5314503
PATZ1,-1.7649877
PAWR,1.9792768
PAX1,0.35351303
PAX2,-2.5885537
PAX3,-0.87005156
PAX5,-0.24091908
PAX6,1.5620755
PAX7,1.1483411
PAX8,-1.8109021
PAX9,-1.0308489
PBRM1,1.7884033
PBX1,0.61730915
PDX1,0.5719128
PEG3,0.26468363
PGR,-2.0539792
PHF20,0.38160723
PHOX2A,0.8012036
PHOX2B,0.18960543
PIN1,-1.4818249
PITX1,-1.0883521
PITX2,-0.7810007
PITX3,-3.1845758
PKNOX1,0.8903217
PLAG1,-0.16255794
PLAGL1,1.3141203
PML,0.95601547
POU1F1,0.09487844
POU2F1,1.1012509
POU2F2,0.28658876
POU2F3,-0.24495797
POU3F1,-0.7801796
POU3F2,1.2684855
POU4F1,-0.0351759
POU4F2,0.08630723
POU5F1,-1.636785
PPARA,1.3409071
PPARD,-1.3811984
PPARG,2.4573884
PPARGC1A,1.4959663
PRDM1,-1.4419279
PRDM2,0.7989286
PRDM4,0.11876737
PREB,1.4161758
PROP1,0.33388138
PROX1,1.2164341
PRRX1,-1.1005555
PTF1A,0.0107281
PURA,-0.31211436
RARA,-1.0818205
RARB,-1.0530151
RARG,-1.6357412
RB1,1.8717028
RBPJ,-1.791367
RCOR2,-2.7048113
REL,-0.25909245
RELA,-4.464315
RELB,-1.7743026
REST,-0.016626514
RFX1,1.6121958
RFX3,-0.42974147
RFX5,1.1170583
RFXANK,1.9059156
RFXAP,1.5839471
RORA,-0.8196671
RORB,0.119943656
RORC,0.3543746
RREB1,-0.15816212
RUNX1,-0.28318584
RUNX2,-1.72228
RUNX3,2.8099134
RXRA,-0.047786918
RXRB,0.11705054
RXRG,-1.2795268
SALL1,-2.8792994
SALL2,3.3690896
SALL3,0.48147428
SALL4,-0.0332377
SATB1,-0.6480504
SATB2,-1.1060749
SCX,1.987236
SETBP1,0.8919261
SF1,0.58695203
SFPQ,-1.5358616
SHOX2,0.32125375
SIM2,-0.026693953
SIN3A,0.47270504
SIRT1,-0.47903723
SIX1,-3.8876112
SIX3,3.1191113
SIX4,-2.123083
SKIL,1.2869819
SMAD1,-2.3699052
SMAD2,-1.1928804
SMAD3,-2.4754846
SMAD4,-1.2121837
SMAD5,1.6995524
SMAD6,-0.12725371
SMAD7,-0.97992265
SMAD9,-0.28963372
SMARCA1,-1.0300877
SMARCA4,2.0365765
SMARCA5,-1.3479666
SMARCB1,-0.40366733
SMARCC1,-1.3302016
SNAI1,-2.8109493
SNAI2,2.8322575
SOX10,0.18287972
SOX11,-0.96901083
SOX17,-0.98328876
SOX2,-2.1494083
SOX4,1.9404073
SOX5,-0.818641
SOX6,1.3079745
SOX9,3.112066
SP1,-2.918133
SP2,0.098259814
SP3,-2.252051
SP4,0.46959955
SP7,-2.1038454
SPDEF,3.1184626
SPI1,0.011614552
SPIB,-0.131121
SPIC,0.636662
SREBF1,0.80582535
SREBF2,-1.2444708
SRF,-2.068493
SRSF2,-2.6889684
SRY,-1.3536003
SSRP1,-1.1544489
STAT1,-0.40245235
STAT2,-0.07536724
STAT3,-3.5065024
STAT4,-0.27792114
STAT5A,-0.07497031
STAT5B,-1.0059745
STAT6,-0.5999588
TADA2A,-0.92959046
TAF1,-0.43259734
TAL1,0.34535018
TBP,-1.2931575
TBPL1,0.9160664
TBPL2,1.2465703
TBX1,-3.1563299
TBX15,-0.87053
TBX18,0.62564343
TBX2,-0.95860076
TBX20,-0.38332534
TBX21,0.23238336
TBX3,-0.5363119
TBX5,-1.6573528
TBX6,1.8800822
TBXT,-1.0804579
TCF12,-0.8613993
TCF15,0.5853814
TCF21,-1.8217437
TCF3,0.09326483
TCF4,-2.5023139
TCF7,-1.3571484
TCF7L2,-5.3210893
TEAD1,-2.115191
TEAD2,0.3714148
TEAD4,-2.072666
TEF,0.5325025
TET1,1.3364625
TFAM,-2.263932
TFAP2A,-1.700148
TFAP2B,0.30555505
TFAP2C,0.23287001
TFAP4,-1.4259168
TFCP2,-2.0874481
TFDP1,-0.5689307
TFDP2,-0.60506713
TFDP3,2.7405288
TFE3,0.09876126
TFEB,1.1475843
TGFB1I1,-0.5499454
TGIF1,-0.87723595
THAP11,1.9221972
THRA,1.025855
THRB,-0.16899809
TLX1,-2.3789346
TLX3,0.53100115
TOX3,0.6724411
TP53,-1.1796663
TP63,1.4003934
TP73,1.3522333
TRERF1,2.6014428
TRIM28,1.4263353
TRPS1,-1.9874736
TSC22D1,3.7577069
TTF1,-1.3124138
TWIST1,-2.6738946
TWIST2,-2.2773445
UBTF,-2.535426
USF1,-1.5126252
USF2,-1.6807462
VDR,0.6024406
VEZF1,-4.026195
VHL,1.3245522
VSX2,0.02985928
WT1,-0.19970267
WWTR1,-1.1128843
XBP1,-3.6013615
YAP1,0.5323032
YBX1,0.80323344
YBX3,1.8955858
YY1,0.65665287
ZBED1,0.37230605
ZBTB14,1.0644882
ZBTB16,-1.2534294
ZBTB17,-2.1154084
ZBTB18,-1.7314205
ZBTB32,1.3862468
ZBTB33,1.1626154
ZBTB4,-3.0758998
ZBTB7A,0.08483995
ZBTB7B,0.8317832
ZEB1,-1.4860973
ZEB2,1.1995716
ZFHX3,2.0102
ZFP42,-0.95107895
ZFPM1,1.3717554
ZFPM2,0.7085498
ZGLP1,0.21579279
ZGPAT,1.0351985
ZHX2,1.3775634
ZIC1,0.2343291
ZIC2,0.40890065
ZKSCAN7,-2.2002475
ZMYND8,0.66059786
ZNF143,1.0115829
ZNF148,0.61488974
ZNF160,0.022384526
ZNF202,0.22720717
ZNF219,1.4476733
ZNF236,1.8617302
ZNF24,-1.6315721
ZNF263,-1.3801405
ZNF300,-2.7817073
ZNF331,-0.44363043
ZNF335,-1.0240314
ZNF350,2.5329804
ZNF354C,-1.0306581
ZNF362,-0.80439
ZNF382,1.2093344
ZNF384,1.3059396
ZNF395,1.3492054
ZNF436,0.42298287
ZNF699,0.89639103
ZNF76,-1.0414448
ZNF804A,0.42842615
ZNF91,0.9770414
ZXDC,0.38602665
