,Trametinib_10nM_WT_vs_vemurafenib_and_trametinib_WT
IRF9,0.10996672347128099
IRX1,0.7657772924869831
ISL1,0.8152159836295994
JARID2,0.3207761357327922
JDP2,0.07736158213249414
JUN,0.00048102941670862085
JUNB,0.08999041278688225
JUND,0.5129018016010639
KAT2B,0.12158910276686848
KAT5,0.010647419419076374
KAT6A,0.10977890360118606
KAT6B,0.42564046961062485
KAT7,0.12563114774655856
KCNIP3,0.4959997131140472
KDM2A,0.5189724799464333
KDM5A,0.202372147293583
KDM5B,0.9856206822348174
KDM5C,0.010663618522115743
KDM5D,0.2118912945922899
KLF1,0.8836203026204009
KLF10,0.18719066457636416
KLF11,0.7033414866863246
KLF12,0.5270112574350976
KLF13,0.14107575926028412
KLF15,0.7480079599614505
KLF17,0.5534653264190315
KLF2,0.8271698769938913
KLF3,0.8065985027359643
KLF4,0.904553625708388
KLF5,0.2635911519685048
KLF6,0.11973043012756651
KLF7,0.5043868752272376
KLF8,0.8157260619154292
KLF9,0.25040357326564283
KMT2A,0.004766971629714395
KMT2B,0.7678630667154216
LEF1,0.26022193300730495
LHX1,0.08307008629716332
LHX2,0.25274282204988735
LHX3,0.3533726653100162
LHX8,0.35181056467740923
LITAF,0.9109481988047936
LMO2,0.7306396785973779
LMX1B,0.22348232243560875
LRRFIP1,0.23873858898384753
LYL1,0.3222947362572701
MAF,0.7038224629280115
MAFA,0.2590276704254952
MAFB,0.27946585006063507
MAFG,0.9521533822498731
MAFK,0.5566086980119791
MAML1,0.5081710839876974
MAX,0.9272989016342135
MAZ,0.9505501515065662
MBD1,0.511699268873185
MBD2,0.05067756655021882
MECOM,0.44284231256881623
MECP2,0.16820828724322573
MED1,0.030602552826562192
MEF2A,0.9267278729949814
MEF2B,0.7777617641211942
MEF2C,0.17932592930340707
MEF2D,0.564785941921796
MEIS1,0.3751569342217369
MEOX1,0.250035230226257
MEOX2,0.772729268582896
MESP2,0.7367111629180895
MITF,0.7760655049892929
MIXL1,0.9212364208247202
MKX,0.18315862490485652
MLXIPL,0.4570485557079037
MNT,0.9848113590398646
MSC,0.2908835209073737
MSX1,0.7557222259922716
MSX2,0.752964198194397
MTA1,0.8572633821546647
MTA3,0.056266657368164635
MTF1,0.41826595332349203
MTF2,0.655361881532953
MXD1,0.7416069120786906
MXI1,0.1662415223558269
MYB,0.28363410502193387
MYBL1,0.07713319885130387
MYBL2,0.42978837222919575
MYC,0.0014503149852714643
MYCN,0.9552243104272307
MYF5,0.8112993841917324
MYF6,0.1874499228996499
MYOCD,0.025432613973765675
MYOD1,0.9519583385454913
MYOG,0.15550347572142695
MYRF,0.1701399033258611
MYT1,0.4791613482531475
MZF1,0.8949566796147861
NAB2,0.33805867520194965
NANOG,0.9400730047861574
NCOA1,0.007665592497206284
NCOA2,0.0036174609423471216
NCOA3,6.285733150280092e-07
NCOR1,0.8016386736871596
NCOR2,0.3089691706029107
NEUROD1,0.883908868606819
NEUROD2,0.33629661947188116
NEUROD6,0.9012465531449524
NEUROG1,0.759140784754278
NEUROG2,0.08765242558399962
NEUROG3,0.7211665978798034
NFAT5,0.004377349737465445
NFATC1,0.7823808200420589
NFATC2,0.009356260707977569
NFATC3,0.6197327255347165
NFATC4,0.714055131085328
NFE2,0.510939880097682
NFE2L1,0.9227194330039123
NFE2L2,0.9807737926493919
NFE2L3,0.2421808621556913
NFIA,0.8985322876491822
NFIB,0.7952068875727817
NFIC,0.010785336501523099
NFIL3,0.9427408407039464
NFIX,0.25271834471399907
NFKB,1.486525427029299e-05
NFKB1,0.10831359071110964
NFKB2,0.09363321401323728
NFKBIB,0.9441536692453469
NFX1,0.40184028506575886
NFYA,0.4332907714780244
NFYB,0.20873249543160852
NFYC,0.5275517459079984
NKRF,0.6393626041448489
NKX2-1,0.2312519035481672
NKX2-2,0.22631758799527105
NKX2-5,0.8765783048825314
NKX3-1,0.2511339617639832
NKX3-2,0.6784598409120695
NKX6-1,0.5692676588435042
NONO,0.2593971204304666
NOTCH1,0.1002265650241545
NOTO,0.4497308975188359
NPAS2,0.27853008710112
NPM1,0.25643019908203357
NR0B1,0.4309798039033934
NR0B2,0.8611328846249207
NR1D1,0.3282237384432204
NR1H2,0.5228866044509228
NR1H3,0.3779814286491685
NR1H4,0.21001034477352032
NR1I2,0.1265902838760524
NR1I3,0.4266718245641111
NR2C1,0.9542254308020713
NR2C2,0.007971559287053545
NR2E1,0.9052506979395707
NR2E3,0.4009145227769606
NR2F1,0.30653986337310324
NR2F2,0.8858214585971249
NR3C1,0.3579977940133048
NR3C2,0.6586442470487531
NR4A1,0.8759710253684589
NR4A2,0.6494657348121059
NR4A3,0.6127171266643585
NR5A1,0.12260640464662202
NR5A2,0.4446336801568983
NR6A1,0.2236551413446782
NRF1,0.26590310116828286
NRG1,0.11789515328491905
NRL,0.02581351806070848
NSD2,0.8099921611304247
NUPR1,0.3985906261333976
OLIG1,0.681714530388466
OLIG2,0.5027077576556038
ONECUT1,0.201841021385397
OTX2,0.9802909377694835
OVOL1,0.5335925064915068
PARK7,0.11817410475662703
PATZ1,0.4777365565308699
PAWR,0.9532787954479234
PAX1,0.655880972905509
PAX2,0.7603004280375756
PAX3,0.21009333041499278
PAX5,0.3345468431566343
PAX6,0.035945074926221364
PAX7,0.6658127636046556
PAX8,0.8625062188587675
PAX9,0.688347429806792
PBRM1,0.03132839481254025
PBX1,0.5049760507916445
PDX1,0.15341314397064496
PEG3,0.542782047420161
PGR,0.009514017646782807
PHF20,0.9528849958926785
PHOX2A,0.39630293581102183
PHOX2B,0.26489230892515236
PIN1,0.13497025758985975
PITX1,0.10545512910443129
PITX2,0.8253931636102569
PITX3,0.9005204956276059
PKNOX1,0.41229655140295496
PLAG1,0.2833804533075315
PLAGL1,0.22873369560172882
PML,0.12203146705837095
POU1F1,0.6612846688269888
POU2F1,0.5390083141009188
POU2F2,0.42690552467239984
POU2F3,0.18192666689427128
POU3F1,0.2355872274975242
POU3F2,0.4545941300497298
POU4F1,0.06894688970321994
POU4F2,0.7615852101963754
POU5F1,0.40467643812367204
PPARA,0.7779818178898861
PPARD,0.45653023784262536
PPARG,0.16554427213560124
PPARGC1A,0.2085829856945654
PRDM1,0.6431915309740269
PRDM2,0.7387798917372619
PRDM4,0.3331109449794134
PREB,0.2998504926931142
PROP1,0.2688130714024522
PROX1,0.05166980140347152
PRRX1,0.9038350869386015
PTF1A,0.27375047881477416
PURA,0.1489362178982771
RARA,0.013023173310452813
RARB,0.06303021255261301
RARG,0.4437138238977063
RB1,0.8586895866092661
RBPJ,0.6557956266732408
RCOR2,0.005358236318915601
REL,0.1807928616990166
RELA,0.02334217870708824
RELB,0.010774975096562537
REST,0.3191126076850706
RFX1,0.4319552731622135
RFX3,0.9329648529556349
RFX5,0.8604288026577378
RFXANK,0.3229956484325426
RFXAP,0.12624742475625508
RORA,0.2266646623843773
RORB,0.632062094558296
RORC,0.8560779981127593
RREB1,0.8396437173259751
RUNX1,0.2623971235560347
RUNX2,0.00805434956501841
RUNX3,0.11172295760918856
RXRA,0.32659137167937213
RXRB,0.5373407477061058
RXRG,0.7619428078011918
SALL1,0.5918154530969966
SALL2,0.9696339960168283
SALL3,0.38427048174965983
SALL4,0.9808508081528482
SATB1,0.06300634348181433
SATB2,0.15261831209870774
SCX,0.9201418977581105
SETBP1,0.07162286868216812
SF1,0.057350606176940266
SFPQ,0.0691740671577555
SHOX2,0.33407108831257415
SIM2,0.2383759275347507
SIN3A,0.19377085801465035
SIRT1,0.7502941970939095
SIX1,0.022899578892140428
SIX3,0.27867054288453263
SIX4,3.893509748038493e-07
SKIL,0.647695511363732
SMAD1,0.3511939410866426
SMAD2,0.3265526646702138
SMAD3,0.6502509179419008
SMAD4,0.022767804826069438
SMAD5,0.4886722675990469
SMAD6,0.43617205636903256
SMAD7,0.4778593532478902
SMAD9,0.196975375325932
SMARCA1,0.02320553345335097
SMARCA4,0.056437028703593545
SMARCA5,0.3641852189341497
SMARCB1,0.5803473837859283
SMARCC1,0.025913409807571855
SNAI1,0.05649555505410285
SNAI2,0.024262249282405442
SOX10,0.7505755903340556
SOX11,0.6633705357246291
SOX17,0.3198987601078273
SOX2,0.8560671566100913
SOX4,0.025492374459017697
SOX5,0.038516076109890135
SOX6,0.26744364994574776
SOX9,0.2945686239320998
SP1,0.0003731861176490447
SP2,0.4774138631386614
SP3,0.09224110474336529
SP4,0.17864842931502056
SP7,0.8855016685025178
SPDEF,0.7810629687746035
SPI1,0.5282805028357812
SPIB,0.1387811789429699
SPIC,0.4213143822349603
SREBF1,7.146528038784575e-05
SREBF2,1.310132506155887e-05
SRF,0.3629540597717533
SRSF2,0.33613971785345953
SRY,0.8866796661402154
SSRP1,0.5967758180093884
STAT1,0.2412554773881747
STAT2,0.2341072043447683
STAT3,0.024661477384284616
STAT4,0.3805022552799662
STAT5A,0.25362406560713724
STAT5B,0.031111226612563773
STAT6,0.8044241528763927
TADA2A,0.6209995857312569
TAF1,0.08297907450286987
TAL1,0.2083991930364633
TBP,0.1440401129082086
TBPL1,0.6240498046703439
TBPL2,0.467840797361758
TBX1,0.9470836030489294
TBX15,0.535177931975202
TBX18,0.44582744469416713
TBX2,0.8864134081803838
TBX20,0.12262789218143613
TBX21,0.35836951767653813
TBX3,0.44066617908497274
TBX5,0.20464545518245614
TBX6,0.10521912691652201
TBXT,0.01216092805732944
TCF12,0.30019953652755593
TCF15,0.8014340646110952
TCF21,0.3246574479288522
TCF3,0.7198195053677523
TCF4,0.1877233039865731
TCF7,0.8953331847706006
TCF7L2,0.5623075830400208
TEAD1,0.9787233796712125
TEAD2,0.6440879515805241
TEAD4,0.7415272592391224
TEF,0.7120561899372886
TET1,0.10455942957203744
TFAM,0.8890879808344092
TFAP2A,0.012481678453971171
TFAP2B,0.49810957633814845
TFAP2C,0.06973760435848798
TFAP4,0.07284454027675553
TFCP2,0.0436445552783988
TFDP1,0.20285782836212876
TFDP2,0.9766301505495558
TFDP3,0.2362693402270553
TFE3,0.1732759643630369
TFEB,0.34027418596083947
TGFB1I1,0.4919494940115886
TGIF1,0.1883490855386819
THAP11,0.9143301046020003
THRA,0.5786225545562023
THRB,0.5279231912213496
TLX1,0.5239244403094643
TLX3,0.3013127885990409
TOX3,0.6226717042647976
TP53,0.15748578292237664
TP63,0.5810470475343973
TP73,0.7367698597492869
TRERF1,0.848907932119849
TRIM28,0.22969047842543805
TRPS1,0.8941497437903869
TSC22D1,0.8484387478001424
TTF1,0.2517881968277775
TWIST1,0.7780502141381072
TWIST2,0.40269809878176854
UBTF,0.09633879957342707
USF1,0.5139014874987282
USF2,0.158065521397067
VDR,0.6471953295310253
VEZF1,0.6814039881027634
VHL,0.7845111215862357
VSX2,0.41358519745543165
WT1,0.14079257582772756
WWTR1,0.22785411885005455
XBP1,0.7439776723059708
YAP1,0.8927570566029472
YBX1,0.8721405707496942
YBX3,0.5864296333672612
YY1,0.333322355894178
ZBED1,0.9536792145827611
ZBTB14,0.8117991476034485
ZBTB16,0.8889221676191504
ZBTB17,0.07896642470114373
ZBTB18,0.10035719978415655
ZBTB32,0.14627622195775836
ZBTB33,0.8293817377751278
ZBTB4,0.7086305109740405
ZBTB7A,0.8584198459550787
ZBTB7B,0.14238510927682568
ZEB1,0.27820139964215185
ZEB2,0.6412581900987366
ZFHX3,0.3117963950369183
ZFP42,0.1100989508138532
ZFPM1,0.4363662879848923
ZFPM2,0.028948875619806785
ZGLP1,0.02782249475137357
ZGPAT,0.4599864973537937
ZHX2,0.4912016504096509
ZIC1,0.8098790840192296
ZIC2,0.9040966297193924
ZKSCAN7,0.3335728260274836
ZMYND8,0.25545184701877394
ZNF143,0.17573630383753913
ZNF148,0.7778554733143008
ZNF160,0.7594137415236902
ZNF202,0.21357153394882808
ZNF219,0.9331429779624152
ZNF236,0.20169915828374985
ZNF24,0.06017669164891916
ZNF263,0.8413122621691236
ZNF300,0.6110206020947693
ZNF331,0.06511867644168942
ZNF335,0.7565551228916287
ZNF350,0.584525800934058
ZNF354C,0.5050523271213181
ZNF362,0.5644607038593741
ZNF382,0.586948456233461
ZNF384,0.020080477018118433
ZNF395,0.4764694187961057
ZNF436,0.943706232180941
ZNF699,0.9082069162978863
ZNF76,0.24447366647896687
ZNF804A,0.20869179865568196
ZNF91,0.7058275313202019
ZXDC,0.303245276887197
