,Untreated_WT_vs_vemurafenib_and_trametinib_WT
GLI2,-2.2300231
GLI3,-0.16897409
GLIS3,0.53561556
GRHL2,1.6061281
GRHL3,-0.2004077
GSC,-2.0142455
GTF2I,-1.2738059
GTF2IRD1,0.74072725
GTF3A,-1.7042223
HAND1,-1.072772
HAND2,-2.8853774
HBP1,-0.02318917
HCFC1,-0.92727184
HDAC1,0.971621
HDAC3,-1.4036456
HDAC4,-0.6480082
HDAC5,0.9447979
HDAC7,2.9647293
HDAC9,0.22992276
HDGF,0.9761254
HES1,1.4705108
HESX1,-1.6421452
HEY1,-0.16418488
HEY2,2.0242949
HEYL,2.2532876
HHEX,-0.70273644
HIC1,0.815782
HIF1A,-2.7256467
HIF3A,0.16785668
HINFP,-2.0070255
HIPK2,0.9422847
HIVEP1,0.11283875
HIVEP2,0.7581972
HLF,0.76100767
HLX,2.1593857
HMGA1,-1.5965264
HMGA2,-1.0059437
HMGB2,1.4379344
HNF1A,0.8227153
HNF1B,1.1006178
HNF4A,-1.3805025
HNF4G,0.2782368
HOPX,-1.1710428
HOXA1,-1.4599255
HOXA10,-0.4607889
HOXA11,-0.9715136
HOXA13,2.4085069
HOXA2,0.9702197
HOXA5,-1.0700746
HOXA7,-0.09368735
HOXA9,-0.39062956
HOXB1,-4.383132
HOXB13,0.3267812
HOXB2,-0.3542241
HOXB4,-1.8495626
HOXB7,-2.801814
HOXB9,-2.6617057
HOXC6,0.34130776
HOXC8,-0.7024586
HOXD1,0.86184096
HOXD13,1.6771232
HOXD3,-2.978416
HR,-0.3460217
HSF1,-2.3253706
HSF2,-0.85700506
HSF4,0.9328566
HTATIP2,0.8527267
ID1,-1.0824946
ID2,-0.10516773
ID3,0.142483
ID4,-0.02538417
IKZF1,-1.3399304
IKZF4,0.78788286
ING4,3.2561395
IRF1,0.7016963
IRF2,-0.30529505
IRF3,-0.5253668
IRF4,0.24730627
IRF5,0.9001192
IRF6,-0.47482392
IRF7,-0.16416778
IRF8,-0.16490462
IRF9,1.5851539
IRX1,-0.6869147
ISL1,0.9147779
JARID2,0.4598814
JDP2,1.2147474
JUN,-4.4262447
JUNB,-2.3245382
JUND,0.22510274
KAT2B,2.5662224
KAT5,-0.8795513
KAT6A,0.3690115
KAT6B,0.98444533
KAT7,-1.5164738
KCNIP3,0.9397576
KDM2A,0.905583
KDM5A,-0.53733575
KDM5B,0.35803685
KDM5C,-1.7799693
KDM5D,-0.8609646
KLF1,2.0665903
KLF10,0.48234993
KLF11,0.53245014
KLF12,-0.95139796
KLF13,2.7943132
KLF15,-0.63082266
KLF17,1.4318547
KLF2,2.0041537
KLF3,1.3311231
KLF4,0.6089334
KLF5,-1.7101556
KLF6,1.566682
KLF7,2.5845723
KLF8,-2.0687115
KLF9,1.1095623
KMT2A,-1.2920077
KMT2B,1.0844314
LEF1,-1.8234948
LHX1,0.05951633
LHX2,-0.4205498
LHX3,-1.1904128
LHX8,-1.9044952
LITAF,-0.40097016
LMO2,1.6863524
LMX1B,-0.1554537
LRRFIP1,0.84781075
LYL1,0.3929095
MAF,1.1388646
MAFA,-0.37723783
MAFB,0.3445066
MAFG,0.91135997
MAFK,0.022767926
MAML1,0.81096673
MAX,1.6718338
MAZ,-0.89413655
MBD1,-1.5117937
MBD2,-1.3280735
MECOM,0.82786596
MECP2,-1.235397
MED1,-1.3208542
MEF2A,0.6645138
MEF2B,2.3586779
MEF2C,0.95955324
MEF2D,1.1035358
MEIS1,-0.93752456
MEOX1,2.674624
MEOX2,2.9441092
MESP2,-3.790135
MITF,-0.20558807
MIXL1,0.040252846
MKX,0.92711586
MLXIPL,-0.4852871
MNT,-0.45806536
MSC,-0.6643288
MSX1,-1.3777049
MSX2,-0.5038149
MTA1,-2.232954
MTA3,-0.5668051
MTF1,-1.1841192
MTF2,-2.0186105
MXD1,-1.0928749
MXI1,-0.60402405
MYB,-2.3359952
MYBL1,-2.507827
MYBL2,-1.7954067
MYC,-8.970546
MYCN,-0.9535897
MYF5,0.8217622
MYF6,-1.3485771
MYOCD,2.7889135
MYOD1,0.70300055
MYOG,2.2181299
MYRF,-0.8303263
MYT1,1.6671892
MZF1,0.34589767
NAB2,1.35129
NANOG,-1.590647
NCOA1,-1.2542859
NCOA2,-1.1048454
NCOA3,-1.7237525
NCOR1,0.8651933
NCOR2,0.22551563
NEUROD1,0.7568013
NEUROD2,-2.4673889
NEUROD6,0.8236321
NEUROG1,-1.6288403
NEUROG2,2.25756
NEUROG3,1.6503019
NFAT5,-1.5249836
NFATC1,-1.7290438
NFATC2,-3.1537256
NFATC3,1.8480978
NFATC4,1.9989544
NFE2,-1.1916355
NFE2L1,-1.1000675
NFE2L2,-0.7762337
NFE2L3,1.5139307
NFIA,-0.35637546
NFIB,0.27650198
NFIC,0.36545143
NFIL3,0.5080611
NFIX,-0.15042369
NFKB,-3.5837028
NFKB1,-3.7683244
NFKB2,-3.456932
NFKBIB,-1.9529325
NFX1,-1.8085893
NFYA,-2.6569343
NFYB,-0.34523645
NFYC,-1.3694658
NKRF,-1.6920093
NKX2-1,-2.2304049
NKX2-2,1.3447118
NKX2-5,1.3932749
NKX3-1,-0.13046643
NKX3-2,0.36274773
NKX6-1,-2.191796
NONO,-0.22604458
NOTCH1,0.4072703
NOTO,0.019488946
NPAS2,-1.1009635
NPM1,-1.5027343
NR0B1,-0.13700068
NR0B2,-0.33207068
NR1D1,0.6436432
NR1H2,0.4934756
NR1H3,0.59548104
NR1H4,-0.59806764
NR1I2,-1.7656429
NR1I3,0.58585286
NR2C1,1.5848143
NR2C2,-0.07630448
NR2E1,-2.4838555
NR2E3,1.2581859
NR2F1,-2.199857
NR2F2,0.028026823
NR3C1,-1.1323465
NR3C2,-2.7672846
NR4A1,-0.5293542
NR4A2,1.1906022
NR4A3,-1.1876848
NR5A1,1.097872
NR5A2,-0.3272756
NR6A1,0.8075245
NRF1,-2.4029365
NRG1,-0.97744256
NRL,-0.060202803
NSD2,-0.5314794
NUPR1,1.2469852
OLIG1,-0.73400605
OLIG2,1.0270475
ONECUT1,-0.05803214
OTX2,0.012750488
OVOL1,-0.11685191
PARK7,-3.2417927
PATZ1,-1.8044947
PAWR,2.2365844
PAX1,-0.04081886
PAX2,-2.8367052
PAX3,-0.9778967
PAX5,-0.69237167
PAX6,1.4004351
PAX7,1.4302118
PAX8,-2.139653
PAX9,-0.8983317
PBRM1,1.7609758
PBX1,0.0025983427
PDX1,1.4125302
PEG3,0.035227153
PGR,-2.3009348
PHF20,-0.028126769
PHOX2A,1.2318968
PHOX2B,0.3331714
PIN1,-2.1636765
PITX1,-0.6494643
PITX2,-0.721996
PITX3,-2.7595727
PKNOX1,0.53760594
PLAG1,-0.61558634
PLAGL1,0.66395706
PML,1.7760288
POU1F1,0.0075614387
POU2F1,1.2193193
POU2F2,0.8808057
POU2F3,-0.59781337
POU3F1,-0.47494438
POU3F2,-0.2160763
POU4F1,0.2788486
POU4F2,-0.2781311
POU5F1,-1.3744451
PPARA,0.47766048
PPARD,-2.1464741
PPARG,2.431531
PPARGC1A,1.0638568
PRDM1,-1.4132257
PRDM2,0.91593117
PRDM4,-0.021942845
PREB,1.2192434
PROP1,0.30893347
PROX1,0.68589437
PRRX1,-0.25167167
PTF1A,0.02130644
PURA,0.8981792
RARA,-1.1164217
RARB,-1.3120556
RARG,-0.6354931
RB1,1.7245425
RBPJ,-1.8504101
RCOR2,-2.86943
REL,-0.88627756
RELA,-4.6604357
RELB,-2.265191
REST,-0.8625762
RFX1,0.7857853
RFX3,-0.39872363
RFX5,-0.62056464
RFXANK,-0.05051924
RFXAP,-0.53754306
RORA,-0.2918051
RORB,-0.16362593
RORC,0.71165913
RREB1,0.09283493
RUNX1,-0.23324272
RUNX2,-2.050129
RUNX3,2.8980508
RXRA,-0.60126233
RXRB,-0.2268436
RXRG,-0.8851465
SALL1,-2.2172873
SALL2,3.258119
SALL3,0.9089447
SALL4,0.32533762
SATB1,-0.32392904
SATB2,-1.0778222
SCX,1.7822622
SETBP1,0.7255107
SF1,0.7945506
SFPQ,-0.81416696
SHOX2,-0.20971943
SIM2,0.068839684
SIN3A,0.12530345
SIRT1,-0.012358244
SIX1,-3.445899
SIX3,2.6890686
SIX4,-2.0971377
SKIL,1.3470876
SMAD1,-2.313824
SMAD2,-1.194093
SMAD3,-2.466055
SMAD4,-0.3188418
SMAD5,1.1937344
SMAD6,-0.48320496
SMAD7,-1.3003821
SMAD9,-0.03370343
SMARCA1,-1.0957096
SMARCA4,2.1195738
SMARCA5,-1.5653028
SMARCB1,-0.622774
SMARCC1,-1.1168938
SNAI1,-2.1513803
SNAI2,2.7943425
SOX10,-0.06352576
SOX11,-0.3299663
SOX17,-0.8308515
SOX2,-1.5131223
SOX4,1.2798085
SOX5,-0.42195278
SOX6,1.6343215
SOX9,2.0872777
SP1,-3.4157288
SP2,-0.8303589
SP3,-2.3394897
SP4,0.23278172
SP7,-1.0149082
SPDEF,2.9148993
SPI1,-0.46244508
SPIB,-0.2512353
SPIC,-0.17031106
SREBF1,0.9422893
SREBF2,-1.3726493
SRF,-2.5329673
SRSF2,-1.8784152
SRY,-1.3855553
SSRP1,-1.2711436
STAT1,-0.58277804
STAT2,0.050460517
STAT3,-3.7991984
STAT4,-0.6932944
STAT5A,0.05847748
STAT5B,-0.33255646
STAT6,-0.53083867
TADA2A,-1.0099139
TAF1,-1.3428628
TAL1,0.3634314
TBP,-1.3174149
TBPL1,0.8559327
TBPL2,1.068851
TBX1,-3.024219
TBX15,-0.7184221
TBX18,0.6231756
TBX2,-0.5730258
TBX20,-0.80166584
TBX21,-0.43816173
TBX3,-1.4048933
TBX5,-2.062998
TBX6,2.0552402
TBXT,-1.3596299
TCF12,-0.704255
TCF15,0.612028
TCF21,-1.2986887
TCF3,0.14977612
TCF4,-3.061109
TCF7,-2.013109
TCF7L2,-5.1321516
TEAD1,-2.9435723
TEAD2,0.34240413
TEAD4,-1.6659316
TEF,1.4484748
TET1,1.3587072
TFAM,-2.1708224
TFAP2A,-1.88532
TFAP2B,-1.1070349
TFAP2C,-0.050387397
TFAP4,-1.1116365
TFCP2,-2.0897524
TFDP1,-1.2756824
TFDP2,-1.0056076
TFDP3,2.6636746
TFE3,0.53695965
TFEB,1.0554377
TGFB1I1,-0.38874763
TGIF1,0.6085893
THAP11,2.6459918
THRA,0.98475975
THRB,-0.9414274
TLX1,-1.9428967
TLX3,0.44365987
TOX3,0.5514663
TP53,-1.2339017
TP63,1.4262131
TP73,0.30412197
TRERF1,2.153832
TRIM28,1.3147942
TRPS1,-2.6583633
TSC22D1,3.3328738
TTF1,-1.3890951
TWIST1,-1.0939659
TWIST2,-1.5902908
UBTF,-1.8833476
USF1,-1.0040033
USF2,-1.1878408
VDR,1.3505225
VEZF1,-3.9888074
VHL,0.83742356
VSX2,0.25526735
WT1,1.076258
WWTR1,-0.9441049
XBP1,-3.477668
YAP1,0.38353935
YBX1,0.5796043
YBX3,1.5996007
YY1,0.06077627
ZBED1,-0.2494828
ZBTB14,0.46258044
ZBTB16,-0.26060706
ZBTB17,-1.8436401
ZBTB18,-1.5036048
ZBTB32,2.161323
ZBTB33,1.7761248
ZBTB4,-3.3105464
ZBTB7A,0.48235628
ZBTB7B,0.34886575
ZEB1,-1.7189894
ZEB2,1.9606364
ZFHX3,2.1647558
ZFP42,-0.52937657
ZFPM1,1.5388565
ZFPM2,1.1362637
ZGLP1,0.31715867
ZGPAT,1.231541
ZHX2,1.3577373
ZIC1,-0.40725648
ZIC2,0.115623266
ZKSCAN7,-1.3199261
ZMYND8,0.2022428
ZNF143,1.2043096
ZNF148,0.7222079
ZNF160,0.52294904
ZNF202,0.9556151
ZNF219,1.002722
ZNF236,2.0496266
ZNF24,-2.3211367
ZNF263,-1.1999471
ZNF300,-2.7847168
ZNF331,-0.30191016
ZNF335,-0.6729553
ZNF350,2.0989277
ZNF354C,-1.0668583
ZNF362,-1.2414024
ZNF382,0.4772977
ZNF384,1.1032338
ZNF395,1.3720473
ZNF436,-0.20855755
ZNF699,1.0045474
ZNF76,-1.0507567
ZNF804A,0.2706788
ZNF91,0.9958183
ZXDC,-0.8898479
